"lang"
{
"Language"	"spanish"
"DOTA_Item_Lone_Druids_Weapon"	"Arma de Lone Druid"
"[english]DOTA_Item_Lone_Druids_Weapon"	"Lone Druid's Weapon"
"DOTA_Item_Chens_Staff"	"Bastón de Chen"
"[english]DOTA_Item_Chens_Staff"	"Chen's Staff"
"DOTA_Item_Chens_Mount"	"Montura de Chen"
"[english]DOTA_Item_Chens_Mount"	"Chen's Mount"
"DOTA_Item_Desc_Copy_of_Chens_Staff"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Chens_Staff"	"This new item has no description."
"DOTA_Item_Chens_Helmet"	"Casco de Chen"
"[english]DOTA_Item_Chens_Helmet"	"Chen's Helmet"
"DOTA_Item_Desc_Copy_of_Chens_Mount"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Chens_Mount"	"This new item has no description."
"DOTA_Item_Chens_Bracers"	"Brazaletes de Chen"
"[english]DOTA_Item_Chens_Bracers"	"Chen's Bracers"
"DOTA_Item_Desc_Copy_of_Chens_Helmet"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Chens_Helmet"	"This new item has no description."
"DOTA_Item_Chens_Shoulder_Armor"	"Armadura de Hombro de Chen"
"[english]DOTA_Item_Chens_Shoulder_Armor"	"Chen's Shoulder Armor"
"DOTA_Item_Desc_Copy_of_Chens_Bracers"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Chens_Bracers"	"This new item has no description."
"DOTA_Item_Chens_Mount_Armor"	"Armadura de la Montura de Chen"
"[english]DOTA_Item_Chens_Mount_Armor"	"Chen's Mount Armor"
"DOTA_Item_Desc_Copy_of_Chens_Shoulder_Armor"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Chens_Shoulder_Armor"	"This new item has no description."
"DOTA_Item_Treants_Head"	"Cabeza de Treant"
"[english]DOTA_Item_Treants_Head"	"Treants' Head"
"DOTA_Item_Treants_Foliage"	"Follaje de Treant"
"[english]DOTA_Item_Treants_Foliage"	"Treants' Foliage"
"DOTA_Item_Desc_Copy_of_Treants_Head"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Treants_Head"	"This new item has no description."
"DOTA_Item_Treants_Hands"	"Manos de Treant"
"[english]DOTA_Item_Treants_Hands"	"Treants' Hands"
"DOTA_Item_Desc_Copy_of_Treants_Foliage"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Treants_Foliage"	"This new item has no description."
"DOTA_Item_Treants_Feet"	"Patas de Treant"
"[english]DOTA_Item_Treants_Feet"	"Treants' Feet"
"DOTA_Item_Desc_Copy_of_Treants_Hands"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Treants_Hands"	"This new item has no description."
"DOTA_Item_Treants_Belt"	"Cinturón de Treant"
"[english]DOTA_Item_Treants_Belt"	"Treants' Belt"
"DOTA_Item_Desc_Copy_of_Treants_Feet"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Treants_Feet"	"This new item has no description."
"DOTA_Item_Beast_of_War_Belt"	"Cinturón de la Bestia de Guerra"
"[english]DOTA_Item_Beast_of_War_Belt"	"Beast of War Belt"
"DOTA_Item_Beast_of_War_Plates"	"Placas de la Bestia de Guerra"
"[english]DOTA_Item_Beast_of_War_Plates"	"Beast of War Plates"
"DOTA_Item_Beast_of_War_Bracers"	"Brazaletes de la Bestia de Guerra"
"[english]DOTA_Item_Beast_of_War_Bracers"	"Beast of War Bracers"
"DOTA_Item_Beast_of_War_Helm"	"Yelmo de la Bestia de Guerra"
"[english]DOTA_Item_Beast_of_War_Helm"	"Beast of War Helm"
"DOTA_Item_Master_Assassins_Shuriken"	"Shuriken del Maestro Asesino"
"[english]DOTA_Item_Master_Assassins_Shuriken"	"Master Assassin's Shuriken"
"DOTA_Item_Master_Assassins_Tails"	"Colas del Maestro Asesino"
"[english]DOTA_Item_Master_Assassins_Tails"	"Master Assassin's Tails"
"DOTA_Item_Master_Assassins_Mancatcher"	"Atrapahombres del Maestro Asesino"
"[english]DOTA_Item_Master_Assassins_Mancatcher"	"Master Assassin's Mancatcher"
"DOTA_Item_Master_Assassins_Grim_Cutter"	"Cortador Siniestro del Maestro Asesino"
"[english]DOTA_Item_Master_Assassins_Grim_Cutter"	"Master Assassin's Grim Cutter"
"DOTA_Item_Trap_Jaw"	"Cepo de Mandíbulas"
"[english]DOTA_Item_Trap_Jaw"	"Trap Jaw"
"DOTA_Item_TempestSight_Axe"	"Hacha del Ojo de la Tormenta"
"[english]DOTA_Item_TempestSight_Axe"	"Tempest-Sight Axe"
"DOTA_Item_Dragonblood_Ravager"	"Despedazador de Sangre de Dragón"
"[english]DOTA_Item_Dragonblood_Ravager"	"Dragonblood Ravager"
"DOTA_Item_Hammer_of_Hope"	"Martillo de la Esperanza"
"[english]DOTA_Item_Hammer_of_Hope"	"Hammer of Hope"
"DOTA_Item_Shard_of_the_Rift"	"Fragmento de la Fisura"
"[english]DOTA_Item_Shard_of_the_Rift"	"Shard of the Rift"
"DOTA_Item_Blade_of_Dead_Kings"	"Hoja de los Reyes Muertos"
"[english]DOTA_Item_Blade_of_Dead_Kings"	"Blade of Dead Kings"
"DOTA_Item_Savage_Beast_Arms"	"Brazos de la Bestia Salvaje"
"[english]DOTA_Item_Savage_Beast_Arms"	"Savage Beast Arms"
"DOTA_Item_Savage_Beast_Shoulders"	"Hombros de la Bestia Salvaje"
"[english]DOTA_Item_Savage_Beast_Shoulders"	"Savage Beast Shoulders"
"DOTA_Item_Savage_Beast_Belt"	"Cinturón de la Bestia Salvaje"
"[english]DOTA_Item_Savage_Beast_Belt"	"Savage Beast Belt"
"DOTA_Item_Savage_Beast_Head"	"Cabeza de la Bestia Salvaje"
"[english]DOTA_Item_Savage_Beast_Head"	"Savage Beast Head"
"DOTA_Item_Savage_Beast_Weapon_Right"	"Arma de la Bestia Salvaje (Derecha)"
"[english]DOTA_Item_Savage_Beast_Weapon_Right"	"Savage Beast Weapon (Right)"
"DOTA_Item_Savage_Beast_Weapon_Left"	"Arma de la Bestia Salvaje (Izquierda)"
"[english]DOTA_Item_Savage_Beast_Weapon_Left"	"Savage Beast Weapon (Left)"
"DOTA_Item_Savage_Beast_Armor"	"Armadura de la Bestia Salvaje"
"[english]DOTA_Item_Savage_Beast_Armor"	"Savage Beast Armor"
"DOTA_Item_Savage_Helmet"	"Casco Salvaje"
"[english]DOTA_Item_Savage_Helmet"	"Savage Helmet"
"DOTA_Item_Savage_Armor"	"Armadura Salvaje"
"[english]DOTA_Item_Savage_Armor"	"Savage Armor"
"DOTA_Item_Savage_Bracer"	"Brazalete Salvaje"
"[english]DOTA_Item_Savage_Bracer"	"Savage Bracer"
"DOTA_Item_Savage_Belt"	"Cinturón Salvaje"
"[english]DOTA_Item_Savage_Belt"	"Savage Belt"
"DOTA_Item_Shivas_Frost_Scepter"	"Cetro Gélido de Shiva"
"[english]DOTA_Item_Shivas_Frost_Scepter"	"Shiva's Frost Scepter"
"DOTA_Item_Rune_Inscribed_Cleaver"	"Hoja Enrunada"
"[english]DOTA_Item_Rune_Inscribed_Cleaver"	"Rune Inscribed Cleaver"
"DOTA_Item_HeadAche"	"Dolor de Cabeza"
"[english]DOTA_Item_HeadAche"	"Head-Ache"
"DOTA_Item_League_MachinimaECAL_America"	"Machinima ECAL: Americas"
"[english]DOTA_Item_League_MachinimaECAL_America"	"Machinima ECAL: Americas"
"DOTA_Item_Desc_League_MachinimaECAL_America"	"Los playoffs de ECAL incluirán 3 equipos de The International: EG, coL y aL, además de prometedores equipos en la escena competitiva como Quantic Gaming y POTM BOTTOM. Los ganadores recibirán un premio de 3.000 dólares patrocinado por Machinima."
"[english]DOTA_Item_Desc_League_MachinimaECAL_America"	"ECAL playoffs will feature 3 teams from the international: EG, coL, and aL along with up and coming teams in the competitive scene such as Quantic Gaming and POTM BOTTOM. A $3,000 prize pool sponsored by Machinima will be offered to the victors."
"DOTA_Item_League_MachinimaECAL_America_Admin"	"ADMIN de Machinima ECAL: Americas"
"[english]DOTA_Item_League_MachinimaECAL_America_Admin"	"Machinima ECAL: Americas ADMIN"
"DOTA_Item_League_TheInternal"	"The Internal"
"[english]DOTA_Item_League_TheInternal"	"The Internal"
"DOTA_Item_Desc_League_TheInternal"	"Este es el torneo donde se pondrán a prueba los sistemas que serán empleados durante The International. Observa a los mejores equipos de Dota 2 de Bellevue mientras compiten por el gran premio de ser odiados por sus compañeros de trabajo."
"[english]DOTA_Item_Desc_League_TheInternal"	"This is the test tournament for the systems that will be used at The International. Watch the best Dota 2 teams in Bellevue compete for the grand prize of being hated by their coworkers."
"DOTA_Item_League_TheInternal_Admin"	"ADMIN de The Internal"
"[english]DOTA_Item_League_TheInternal_Admin"	"The Internal ADMIN"
"DOTA_Item_Dooms_Weapon"	"Arma de Doom"
"[english]DOTA_Item_Dooms_Weapon"	"Doom's Weapon"
"DOTA_Item_Dooms_Helm"	"Yelmo de Doom"
"[english]DOTA_Item_Dooms_Helm"	"Doom's Helm"
"DOTA_Item_Desc_Copy_of_Dooms_Weapon"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Dooms_Weapon"	"This new item has no description."
"DOTA_Item_Dooms_Shoulder_Armor"	"Armadura de Hombro de Doom"
"[english]DOTA_Item_Dooms_Shoulder_Armor"	"Doom's Shoulder Armor"
"DOTA_Item_Desc_Copy_of_Dooms_Helm"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Dooms_Helm"	"This new item has no description."
"DOTA_Item_Dooms_Bracers"	"Brazaletes de Doom"
"[english]DOTA_Item_Dooms_Bracers"	"Doom's Bracers"
"DOTA_Item_Desc_Copy_of_Dooms_Shoulder_Armor"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Dooms_Shoulder_Armor"	"This new item has no description."
"DOTA_Item_Dooms_Belt"	"Cinturón de Doom"
"[english]DOTA_Item_Dooms_Belt"	"Doom's Belt"
"DOTA_Item_Desc_Copy_of_Dooms_Bracers"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Dooms_Bracers"	"This new item has no description."
"DOTA_Item_Dooms_Wings"	"Alas de Doom"
"[english]DOTA_Item_Dooms_Wings"	"Doom's Wings"
"DOTA_Item_Desc_Copy_of_Dooms_Belt"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Dooms_Belt"	"This new item has no description."
"DOTA_Item_Dooms_Tail"	"Cola de Doom"
"[english]DOTA_Item_Dooms_Tail"	"Doom's Tail"
"DOTA_Item_Desc_Copy_of_Dooms_Wings"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Dooms_Wings"	"This new item has no description."
"DOTA_Item_Warlocks_Weapon"	"Arma de Warlock"
"[english]DOTA_Item_Warlocks_Weapon"	"Warlock's Weapon"
"DOTA_Item_Warlocks_Offhand_Weapon"	"Arma Secundaria de Warlock"
"[english]DOTA_Item_Warlocks_Offhand_Weapon"	"Warlock's Off-hand Weapon"
"DOTA_Item_Warlocks_Head"	"Cabeza de Warlock"
"[english]DOTA_Item_Warlocks_Head"	"Warlock's Head"
"DOTA_Item_Warlocks_Shoulder"	"Hombro de Warlock"
"[english]DOTA_Item_Warlocks_Shoulder"	"Warlock's Shoulder"
"DOTA_Item_Warlocks_Arms"	"Brazos de Warlock"
"[english]DOTA_Item_Warlocks_Arms"	"Warlock's Arms"
"DOTA_Item_Warlocks_Robe"	"Túnica de Warlock"
"[english]DOTA_Item_Warlocks_Robe"	"Warlock's Robe"
"DOTA_Item_Warlocks_Bag"	"Bolsa de Warlock"
"[english]DOTA_Item_Warlocks_Bag"	"Warlock's Bag"
"DOTA_Item_Shadow_Shamans_Weapon"	"Arma de Shadow Shaman"
"[english]DOTA_Item_Shadow_Shamans_Weapon"	"Shadow Shaman's Weapon"
"DOTA_Item_Shadow_Shamans_Offhand_Weapon"	"Arma Secundaria de Shadow Shaman"
"[english]DOTA_Item_Shadow_Shamans_Offhand_Weapon"	"Shadow Shaman's Off-hand Weapon"
"DOTA_Item_Desc_Copy_of_Shadow_Shamans_Weapon"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Shadow_Shamans_Weapon"	"This new item has no description."
"DOTA_Item_Shadow_Shamans_Headdress"	"Tocado de Shadow Shaman"
"[english]DOTA_Item_Shadow_Shamans_Headdress"	"Shadow Shaman's Headdress"
"DOTA_Item_Desc_Copy_of_Shadow_Shamans_Offhand_Weapon"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Shadow_Shamans_Offhand_Weapon"	"This new item has no description."
"DOTA_Item_Shadow_Shamans_Armor"	"Armadura de Shadow Shaman"
"[english]DOTA_Item_Shadow_Shamans_Armor"	"Shadow Shaman's Armor"
"DOTA_Item_Desc_Copy_of_Shadow_Shamans_Headdress"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Shadow_Shamans_Headdress"	"This new item has no description."
"DOTA_Item_Shadow_Shamans_Stuff"	"Cosas de Shadow Shaman"
"[english]DOTA_Item_Shadow_Shamans_Stuff"	"Shadow Shaman's Stuff"
"DOTA_Item_Desc_Copy_of_Shadow_Shamans_Armor"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Shadow_Shamans_Armor"	"This new item has no description."
"DOTA_Item_Shadow_Shamans_Head"	"Cabeza de Shadow Shaman"
"[english]DOTA_Item_Shadow_Shamans_Head"	"Shadow Shaman's Head"
"DOTA_Item_Desc_Copy_of_Shadow_Shamans_Stuff"	"Este objeto nuevo no tiene descripción."
"[english]DOTA_Item_Desc_Copy_of_Shadow_Shamans_Stuff"	"This new item has no description."
"DOTA_Item_Strange_Modifier_Axe_Culls"	"Modificador Extraño: Enemigos Seleccionados"
"[english]DOTA_Item_Strange_Modifier_Axe_Culls"	"Strange Modifier: Enemies Culled"
"DOTA_Item_Desc_Strange_Modifier_Axe_Culls"	"Añadiendo este Modificador Extraño a un objeto de aspecto extraño de tu elección, éste podrá registrar el número de enemigos impactados por Hoja Selectiva mientras lo llevas como Axe."
"[english]DOTA_Item_Desc_Strange_Modifier_Axe_Culls"	"Adding this Strange Modifier to a strange item of your choice will allow it to also count the number of enemies you've Culled while wearing it as Axe."
"DOTA_Item_Strange_Modifier_Axe_BattleHungerKills"	"Modificador Extraño: Víctimas por Hambre de Batalla"
"[english]DOTA_Item_Strange_Modifier_Axe_BattleHungerKills"	"Strange Modifier: Battle Hunger Kills"
"DOTA_Item_Desc_Strange_Modifier_Axe_BattleHungerKills"	"Añadiendo este Modificador Extraño a un objeto de aspecto extraño de tu elección, éste podrá registrar el número de enemigos asesinados con Hambre de Batalla mientras lo llevas como Axe."
"[english]DOTA_Item_Desc_Strange_Modifier_Axe_BattleHungerKills"	"Adding this Strange Modifier to a strange item of your choice will allow it to also count the number of enemies you've killed with Battle Hunger while wearing it as Axe."
"DOTA_Item_Strange_Modifier_Axe_LowHealthKills"	"Modificador Extraño: Víctimas al Borde de la Muerte (Axe)"
"[english]DOTA_Item_Strange_Modifier_Axe_LowHealthKills"	"Strange Modifier: Axe Near Death Kills"
"DOTA_Item_Desc_Strange_Modifier_Axe_LowHealthKills"	"Añadiendo este Modificador Extraño a un objeto de aspecto extraño de tu elección, éste te permitirá registrar el número de enemigos asesinados mientras estás a menos del 15% de vida y lo llevas como Axe."
"[english]DOTA_Item_Desc_Strange_Modifier_Axe_LowHealthKills"	"Adding this Strange Modifier to a strange item of your choice will allow it to also count the number of enemies you've killed while having less than 15% of your health while wearing it as Axe."
"DOTA_Item_Strange_Modifier_Axe_CalledDamageDone"	"Modificador Extraño: Daño Infligido por Llamada"
"[english]DOTA_Item_Strange_Modifier_Axe_CalledDamageDone"	"Strange Modifier: Call Damage Done"
"DOTA_Item_Desc_Strange_Modifier_Axe_CalledDamageDone"	"Añadiendo este Modificador Extraño a un objeto de aspecto extraño de tu elección, éste te permitirá registrar la cantidad de daño infligido a los enemigos bajo los efectos de Llamada del Berserker mientras lo llevas como Axe."
"[english]DOTA_Item_Desc_Strange_Modifier_Axe_CalledDamageDone"	"Adding this Strange Modifier to a strange item of your choice will allow it to also count the amount of damage you've done to enemies under the effects of your Berserker's Call while wearing it as Axe."
"DOTA_Item_Strange_Modifier_Axe_CalledDamageTaken"	"Modificador Extraño: Daño Recibido por Llamada"
"[english]DOTA_Item_Strange_Modifier_Axe_CalledDamageTaken"	"Strange Modifier: Call Damage Taken"
"DOTA_Item_Desc_Strange_Modifier_Axe_CalledDamageTaken"	"Añadiendo este Modificador Extraño a un objeto de aspecto extraño de tu elección, éste te permitirá registrar la cantidad de daño que has recibido de los enemigos bajo los efectos de Llamada del Berserker mientras lo llevas como Axe."
"[english]DOTA_Item_Desc_Strange_Modifier_Axe_CalledDamageTaken"	"Adding this Strange Modifier to a strange item of your choice will allow it to also count the amount of damage you've taken from enemies under the effects of your Berserker's Call while wearing it as Axe."
"DOTA_Item_League_RazerMiniMadness"	"Razer Mini Madness"
"[english]DOTA_Item_League_RazerMiniMadness"	"Razer Mini Madness"
"DOTA_Item_Desc_League_RazerMiniMadness"	"Razer Mini Madness es un torneo de Dota 2 creado por It's Gosu eSports y generosamente patrocinado por Razer. Ocho de los mejores equipos de Asia competirán e intentarán embolsarse un premio de 500 dólares. Este torneo es la última oportunidad que tienen los equipos para prepararse para el The International de este año."
"[english]DOTA_Item_Desc_League_RazerMiniMadness"	"Razer Mini Madness is a Dota 2 tournament hosted by It's Gosu eSports and generously sponsored by Razer. Eight of the best teams in Asia will compete and will try to bag the $500 prize. This tournament is the last opportunity for the teams to get ready for this year's The International."
"DOTA_Item_League_RazerMiniMadness_Admin"	"ADMIN de Razer Mini Madness"
"[english]DOTA_Item_League_RazerMiniMadness_Admin"	"Razer Mini Madness ADMIN"
"DOTA_Item_League_AbsoluteArenaKOH"	"AbsoluteArena King of the Hill"
"[english]DOTA_Item_League_AbsoluteArenaKOH"	"AbsoluteArena King of the Hill"
"DOTA_Item_Desc_League_AbsoluteArenaKOH"	"AbsoluteArena King of the Hill es un torneo que consiste en un encuentro semanal entre dos equipos en formato de al mejor de 5 partidas. La primera victoria es de 100 dólares, y el premio se incrementa cada semana en 100 dólares más. Los equipos tienen la oportunidad de ganar cinco encuentros consecutivos (1.500 dólares), momento en el cual la serie comienza de nuevo."
"[english]DOTA_Item_Desc_League_AbsoluteArenaKOH"	"AbsoluteArena King of the Hill is a tournament consisting of a weekly match-up between two teams in a best-of-5 format. The first win is $100, and the prize increases every week by $100. Teams are able to win five games in a row ($1500) at which time the series starts over."
"DOTA_Item_League_AbsoluteArenaKOH_Admin"	" "
"[english]DOTA_Item_League_AbsoluteArenaKOH_Admin"	""
"DOTA_Item_Strange_Modifier_Invoker_TornadoKills"	"Modificador Extraño: Víctimas por Tornado"
"[english]DOTA_Item_Strange_Modifier_Invoker_TornadoKills"	"Strange Modifier: Tornado Kills"
"DOTA_Item_Desc_Strange_Modifier_Invoker_TornadoKills"	"Añadiendo este Modificador Extraño a un objeto de aspecto extraño de tu elección, éste te permitirá registrar el número de enemigos asesinados con Tornado mientras lo llevas como Invoker."
"[english]DOTA_Item_Desc_Strange_Modifier_Invoker_TornadoKills"	"Adding this Strange Modifier to a strange item of your choice will allow it to also count the number of enemies you've killed with Tornado as Invoker."
"DOTA_WearableType_Blade"	"Hoja"
"[english]DOTA_WearableType_Blade"	"Blade"
"DOTA_WearableType_Platemail"	"Malla de Placas"
"[english]DOTA_WearableType_Platemail"	"Platemail"
"DOTA_WearableType_Book"	"Libro"
"[english]DOTA_WearableType_Book"	"Book"
"DOTA_WearableType_Guard"	"Protector"
"[english]DOTA_WearableType_Guard"	"Guard"
"DOTA_WearableType_Ward"	"Guardián"
"[english]DOTA_WearableType_Ward"	"Ward"
"DOTA_WearableType_Cask"	"Tonel"
"[english]DOTA_WearableType_Cask"	"Cask"
"DOTA_WearableType_Flail"	"Mangual"
"[english]DOTA_WearableType_Flail"	"Flail"
"DOTA_WearableType_Sickle"	"Hoz"
"[english]DOTA_WearableType_Sickle"	"Sickle"
"DOTA_WearableType_Short_Blades"	"Hojas Cortas"
"[english]DOTA_WearableType_Short_Blades"	"Short Blades"
"DOTA_WearableType_Bottle"	"Botella"
"[english]DOTA_WearableType_Bottle"	"Bottle"
"DOTA_WearableType_Belly_Guard"	"Protector Abdominal"
"[english]DOTA_WearableType_Belly_Guard"	"Belly Guard"
"DOTA_WearableType_Club"	"Porra"
"[english]DOTA_WearableType_Club"	"Club"
"DOTA_WearableType_Cloak"	"Capa"
"[english]DOTA_WearableType_Cloak"	"Cloak"
"DOTA_WearableType_International_Courier"	"Mensajero del International"
"[english]DOTA_WearableType_International_Courier"	"International Courier"
"DOTA_WearableType_Fan"	"Objeto de Fan"
"[english]DOTA_WearableType_Fan"	"Fan Item"
"DOTA_Item_Blood_Seekers_Blade"	"Hoja de Blood Seeker"
"[english]DOTA_Item_Blood_Seekers_Blade"	"Blood Seeker's Blade"
"DOTA_Item_Blood_Seekers_Blade__OffHand"	"Hoja de Blood Seeker - Secundaria"
"[english]DOTA_Item_Blood_Seekers_Blade__OffHand"	"Blood Seeker's Blade - Off-Hand"
"DOTA_Item_KotL_Mount"	"Montura de KotL"
"[english]DOTA_Item_KotL_Mount"	"KotL Mount"
"DOTA_Item_Desc_KotL_Mount"	" "
"[english]DOTA_Item_Desc_KotL_Mount"	""
"DOTA_Item_KotL_Staff"	"Bastón de KotL"
"[english]DOTA_Item_KotL_Staff"	"KotL Staff"
"DOTA_Item_Desc_KotL_Weapon"	" "
"[english]DOTA_Item_Desc_KotL_Weapon"	""
"DOTA_Item_KotL_Hood"	"Capucha de KotL"
"[english]DOTA_Item_KotL_Hood"	"KotL Hood"
"DOTA_Item_KotL_Skirt"	"Faldón de KotL"
"[english]DOTA_Item_KotL_Skirt"	"KotL Skirt"
"DOTA_Item_Desc_KotL_Skirt"	" "
"[english]DOTA_Item_Desc_KotL_Skirt"	""
"DOTA_Item_KotL_Horse_Accesories"	"Accesorios del Caballo de KotL"
"[english]DOTA_Item_KotL_Horse_Accesories"	"KotL Horse Accesories"
"DOTA_Item_Desc_KotL_Horse_Accesories"	" "
"[english]DOTA_Item_Desc_KotL_Horse_Accesories"	""
"DOTA_Item_Blood_Seekers_Skirt"	"Faldón de Blood Seeker"
"[english]DOTA_Item_Blood_Seekers_Skirt"	"Blood Seeker's Skirt"
"DOTA_Item_back_rings"	" "
"[english]DOTA_Item_back_rings"	""
"DOTA_Item_Desc_back_rings"	" "
"[english]DOTA_Item_Desc_back_rings"	""
"DOTA_Item_cleaver"	" "
"[english]DOTA_Item_cleaver"	""
"DOTA_Item_Desc_Copy_of_back_rings"	" "
"[english]DOTA_Item_Desc_Copy_of_back_rings"	""
"DOTA_Item_left_arm"	" "
"[english]DOTA_Item_left_arm"	""
"DOTA_Item_Desc_left_arm"	" "
"[english]DOTA_Item_Desc_left_arm"	""
"DOTA_Item_bracer"	" "
"[english]DOTA_Item_bracer"	""
"DOTA_Item_Desc_Copy_of_left_arm"	" "
"[english]DOTA_Item_Desc_Copy_of_left_arm"	""
"DOTA_Item_hair"	" "
"[english]DOTA_Item_hair"	""
"DOTA_Item_Desc_Copy_of_bracer"	" "
"[english]DOTA_Item_Desc_Copy_of_bracer"	""
"DOTA_Item_Dazzles_mohawk"	"Cresta de Dazzle"
"[english]DOTA_Item_Dazzles_mohawk"	"Dazzles mohawk"
"DOTA_Item_Dazzles_staff"	"Bastón de Dazzle"
"[english]DOTA_Item_Dazzles_staff"	"Dazzles staff"
"DOTA_Item_Dazzles_dress"	"Vestimenta de Dazzle"
"[english]DOTA_Item_Dazzles_dress"	"Dazzles dress"
"DOTA_Item_Dazzles_sleeve"	"Manga de Dazzle"
"[english]DOTA_Item_Dazzles_sleeve"	"Dazzles sleeve"
"DOTA_Item_Desc_Cerebral_Support"	"¿Qúe bestia ancestral llevaría esto en el pasado? A Tidehunter le da igual."
"[english]DOTA_Item_Desc_Cerebral_Support"	"What ancient beast once wore this?  The Tidehunter cares not."
"DOTA_Item_Desc_Skeletal_Catch"	"Todavía puede que le quede un poco de carne encima. Aunque probablemente no."
"[english]DOTA_Item_Desc_Skeletal_Catch"	"There might still be a little meat on it.  But probably not."
"DOTA_Item_War_Blade__OffHand"	"Hoja de Guerra - Secundaria"
"[english]DOTA_Item_War_Blade__OffHand"	"War Blade - Off-Hand"
"DOTA_Item_Back_Hook__OffHand"	"Gancho Trasero - Secundario"
"[english]DOTA_Item_Back_Hook__OffHand"	"Back Hook - Off-Hand"
"DOTA_Item_Desc_Armor_of_the_Purist_Champion"	"Omniknight lleva con orgullo tales armamentos."
"[english]DOTA_Item_Desc_Armor_of_the_Purist_Champion"	"Omniknight wears such armaments proudly."
"DOTA_Item_Desc_Circlet_of_the_Purist_Champion"	"Para Omniknight, ninguna demostración de lealtad es demasiado grande."
"[english]DOTA_Item_Desc_Circlet_of_the_Purist_Champion"	"For Omniknight, no show of loyalty is too great."
"DOTA_Item_Iron_Bears_Belt"	"Cinturón del Oso de Hierro"
"[english]DOTA_Item_Iron_Bears_Belt"	"Iron Bear's Belt"
"DOTA_Item_Desc_Iron_Bears_Belt"	"Es raro encontrar una reliquia de las Guerras Tribales tan útil todavía intacta."
"[english]DOTA_Item_Desc_Iron_Bears_Belt"	"It is rare to find such a useful relic from the Tribal Wars still intact."
"DOTA_Item_Iron_Bears_Plates"	"Placas del Oso de Hierro"
"[english]DOTA_Item_Iron_Bears_Plates"	"Iron Bear's Plates"
"DOTA_Item_Desc_Iron_Bears_Pauldrons"	"Durante las Guerras Tribales, el grabado de los hombros se utilizaba para indicar la tierra natal y el clan del portador si éste caía en la batalla."
"[english]DOTA_Item_Desc_Iron_Bears_Pauldrons"	"During the Tribal Wars, the etching on the shoulders was used to mark one's homeland and clan should the wearer fall in battle."
"DOTA_Item_Iron_Bears_Cutter"	"Cortador del Oso de Hierro"
"[english]DOTA_Item_Iron_Bears_Cutter"	"Iron Bear's Cutter"
"DOTA_Item_Desc_Iron_Bears_Cutter"	"Hasta las Guerras Tribales, el clan Ursa nunca pensó en cubrirse con armadura. Con la guerra ahora un lejano recuerdo, tales armaduras son consideradas algo más ceremonial que práctico."
"[english]DOTA_Item_Desc_Iron_Bears_Cutter"	"Until the Tribal Wars, the Ursa clan never thought to cover themselves in armor.  With the war now a distant memory, such arms are now considered more ceremonial than practical."
"DOTA_Item_Iron_Bears_Skullcap"	"Cubrecabezas del Oso de Hierro"
"[english]DOTA_Item_Iron_Bears_Skullcap"	"Iron Bear's Skullcap"
"DOTA_Item_Desc_Iron_Bears_Skullcap"	"Una reliquia de las Guerras Tribales, se dice que este cubrecabezas perteneció a un poderoso jefe."
"[english]DOTA_Item_Desc_Iron_Bears_Skullcap"	"A relic of the Tribal Wars, this cap is said to have belonged to a powerful chieftain."
"DOTA_Item_Shoulders_of_the_Comets_Tail"	"Hombros del Rastro del Cometa"
"[english]DOTA_Item_Shoulders_of_the_Comets_Tail"	"Shoulders of the Comet's Tail"
"DOTA_Item_Desc_Shoulders_of_the_Comets_Tail"	"Las propias estrellas recorren los cielos en busca de iluminación."
"[english]DOTA_Item_Desc_Shoulders_of_the_Comets_Tail"	"The stars themselves travel the skies in search of illumination."
"DOTA_Item_Desc_Ruling_Sword"	"Se dice que empuñar la Espada Regente es sinónimo de conquistar el propio destino."
"[english]DOTA_Item_Desc_Ruling_Sword"	"It is said that to hold the Ruling Sword is to conquer one's destiny."
