"lang"
{
"Language"	"czech"
"DOTA_Tooltip_ability_mirana_leap"	"Leap"
"[english]DOTA_Tooltip_ability_mirana_leap"	"Leap"
"DOTA_Tooltip_ability_mirana_leap_Description"	"Mirana skočí vpřed do bitvy a při dopadu posílí spojence divokým zařváním, čímž jim poskytne zvýšenou rychlost pohybu a útoku. Bonus trvá 10 sekund."
"[english]DOTA_Tooltip_ability_mirana_leap_Description"	"Mirana leaps forward into battle, empowering allied units with a ferocious roar upon landing, granting attack and movement speed. Speed bonus lasts 10 seconds."
"DOTA_Tooltip_ability_mirana_leap_Lore"	"Miraninu ikonickou bílou šelmu ve válečné vřavě rozeznají spojenci i nepřátelé."
"[english]DOTA_Tooltip_ability_mirana_leap_Lore"	"Both friend and foe alike recognize Mirana's iconic white beast in the heat of battle."
"DOTA_Tooltip_ability_mirana_leap_leap_distance"	"VZDÁLENOST:"
"[english]DOTA_Tooltip_ability_mirana_leap_leap_distance"	"DISTANCE:"
"DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"	"%BONUS K RYCHLOSTI POHYBU:"
"[english]DOTA_Tooltip_ability_mirana_leap_leap_speedbonus"	"%MOVEMENT BONUS:"
"DOTA_Tooltip_ability_mirana_starfall"	"Starstorm"
"[english]DOTA_Tooltip_ability_mirana_starfall"	"Starstorm"
"DOTA_Tooltip_ability_mirana_starfall_Description"	"Vyvolá vlnu meteoritů, které zraní nepřátelské jednotky. Jedna náhodná nepřátelská jednotka do vzdálenosti 175 dostane navíc druhou ránu se 75%% poškozením."
"[english]DOTA_Tooltip_ability_mirana_starfall_Description"	"Calls down a wave of meteors to damage nearby enemy units. One random enemy unit in 175 range will take a second hit for 75%% of the damage."
"DOTA_Tooltip_ability_mirana_starfall_Lore"	"Když je třeba, Bohyně roztrhá oblohu, aby posílila svoji Princeznu."
"[english]DOTA_Tooltip_ability_mirana_starfall_Lore"	"The Goddess breaks the strata to empower her Princess in the time of need."
"DOTA_Tooltip_ability_mirana_starfall_starfall_radius"	"ROZSAH:"
"[english]DOTA_Tooltip_ability_mirana_starfall_starfall_radius"	"RADIUS:"
"npc_dota_hero_mirana_bio"	"Mirana se narodila do královské rodiny jako následnice Slunečního trůnu. Princezna se ale svobodně vzdala nároku na světská panství a tituly, když zasvětila svůj život službě Měsíční bohyni Selemene. Mirana, od té doby známa jako Měsíční princezna, se plíží posvátnými Nightsilverskými lesy a hledá kohokoliv, kdo by se opovážil uzmout posvátný světélkující leknín ze stříbrných jezírek Bohyně. Na své obří kočkovité šelmě jezdí sebevědomě, hrdě a nebojácně, sladěna s měsíčními fázemi a pohyby vzdálených souhvězdí. Její luk, posázený ostrými úlomky měsíční horniny, čerpá lunární energii a nabíjí jí její světelné šípy."
"[english]npc_dota_hero_mirana_bio"	"Born to a royal family, a blood princess next in line for the Solar Throne, Mirana willingly surrendered any claim to mundane land or titles when she dedicated herself completely to the service of Selemene, Goddess of the Moon. Known ever since as Princess of the Moon, Mirana prowls the sacred Nightsilver Woods searching for any who would dare poach the sacred luminous lotus from the silvery pools of the Goddess's preserve. Riding on her enormous feline familiar, she is poised, proud and fearless, attuned to the phases of the moon and the wheeling of the greater constellations. Her bow, tipped with sharp shards of lunar ore, draws on the moon's power to charge its arrows of light."
"npc_dota_hero_mirana_hype"	"Vyvolej smršť meteoritů!\n\nOmrač své nepřátele daleko letícími šípy!\n\nDělej obří skoky na hřbetu Sagana, tvé divoké šelmy!\n\nSkryj své spojence pro nenadálé ničivé útoky!"
"[english]npc_dota_hero_mirana_hype"	"Summon meteor strikes!\n\nStun your enemies with far-flying arrows!\n\nTake great leaps on the back of your savage mount, Sagan!\n\nCloak your allies with invisibility for devastating sneak-attacks!"
"DOTA_Tooltip_ability_life_stealer_rage"	"Rage"
"[english]DOTA_Tooltip_ability_life_stealer_rage"	"Rage"
"DOTA_Tooltip_ability_life_stealer_rage_Description"	"Lifestealer začne tak zuřit, že se stane odolným vůči magii a zvýší se mu rychlost útoku.."
"[english]DOTA_Tooltip_ability_life_stealer_rage_Description"	"Launch into a maddened rage, becoming immune to magic spells and gaining increased attack speed."
"DOTA_Tooltip_ability_life_stealer_rage_attack_speed_bonus"	"BONUS K RYCHLOSTI ÚTOKU:"
"[english]DOTA_Tooltip_ability_life_stealer_rage_attack_speed_bonus"	"ATTACK SPEED BONUS:"
"DOTA_Tooltip_ability_life_stealer_rage_duration"	"TRVÁNÍ:"
"[english]DOTA_Tooltip_ability_life_stealer_rage_duration"	"DURATION:"
"DOTA_Tooltip_ability_life_stealer_feast"	"Feast"
"[english]DOTA_Tooltip_ability_life_stealer_feast"	"Feast"
"DOTA_Tooltip_ability_life_stealer_feast_Description"	"Obnovuje část ze současné výše zdraví napadeného nepřítele a stejná část je přidaná jako poškození ke každému útoku."
"[english]DOTA_Tooltip_ability_life_stealer_feast_Description"	"Regenerates a portion of the attacked enemy's current HP and deals the same portion of damage per attack."
"DOTA_Tooltip_ability_life_stealer_feast_hp_leech_percent"	"%OBNOVENÁ ČÁST ZDRAVÍ:"
"[english]DOTA_Tooltip_ability_life_stealer_feast_hp_leech_percent"	"%LIFE LEECH:"
"DOTA_Tooltip_ability_life_stealer_open_wounds"	"Open Wounds"
"[english]DOTA_Tooltip_ability_life_stealer_open_wounds"	"Open Wounds"
"DOTA_Tooltip_ability_life_stealer_open_wounds_Description"	"Lifestealer rozpáře nepřátelskou jednotku, oběti zpomalí rychlost pohybu a umožní spojencům získat její životní sílu. Životy obnovuje jakékoliv poškození, včetně kouzel. Rychlost pohybu oběti se během trvání kouzla postupně obnovuje."
"[english]DOTA_Tooltip_ability_life_stealer_open_wounds_Description"	"Lifestealer rends an enemy unit, slowing the victim's movespeed and allowing all allies to lifesteal on that unit. All damage dealt will steal life, including damage from spells. The victim recovers movement speed over the duration."
"DOTA_Tooltip_ability_life_stealer_open_wounds_heal_percent"	"%OBNOVENÁ ČÁST ŽIVOTŮ:"
"[english]DOTA_Tooltip_ability_life_stealer_open_wounds_heal_percent"	"%LIFE LEECH:"
"DOTA_Tooltip_ability_life_stealer_infest"	"Infest"
"[english]DOTA_Tooltip_ability_life_stealer_infest"	"Infest"
"DOTA_Tooltip_ability_life_stealer_infest_Description"	"Lifestealer infikuje tělo cílové jednotky a potichu a skrytě zůstane vyčkávat uvnitř. Jakmile z ní vyskočí, udělí všem okolním jednotkám poškození. Pokud je infikovaná jednotka creep, s vyskočením ho stráví a získá tak jeho momentální zdraví. Schopnost nelze použít na nepřátelské hrdiny."
"[english]DOTA_Tooltip_ability_life_stealer_infest_Description"	"Lifestealer will infest the body of the target unit, lying dormant and undetectable inside. When he reveals himself, he deals damage to all nearby enemy units. If the unit is a creep, he will devour it first, gaining health equal to the unit's current HP.  Does not work on enemy Heroes."
"DOTA_Tooltip_ability_life_stealer_infest_damage"	"POŠKOZENÍ:"
"[english]DOTA_Tooltip_ability_life_stealer_infest_damage"	"DAMAGE:"
"DOTA_Tooltip_ability_life_stealer_infest_radius"	"ROZSAH POŠKOZENÍ:"
"[english]DOTA_Tooltip_ability_life_stealer_infest_radius"	"DAMAGE RADIUS:"
"DOTA_Tooltip_ability_life_stealer_consume"	"Consume"
"[english]DOTA_Tooltip_ability_life_stealer_consume"	"Consume"
"DOTA_Tooltip_ability_life_stealer_consume_Description"	"Lifestealer se prožere ven z těla hostitele."
"[english]DOTA_Tooltip_ability_life_stealer_consume_Description"	"Lifestealer eats the host body from the inside out."
"DOTA_Tooltip_modifier_life_stealer_infest"	"Zamoření hostitele"
"[english]DOTA_Tooltip_modifier_life_stealer_infest"	"Infesting a host"
"npc_dota_hero_life_stealer_bio"	"V žaláři Devarque leží pomstychstivý kouzelník svázán v poutech, přemýšlejíc o útěku. Sdílí svoji celu s mumlajícím stvořením známým jako N'aix, zlodějem, kterého Rada Ohavných proklela dlouhověkostí, aby jeho doživotní trest za krádeže a podvádění byl co nejkrutější. Za ta léta zkorodoval spolu s jeho pouty i jeho rozum; N'aix si nezachoval žádnou paměť ze svého předešlého života a již nelačnil po svobodě. Nacházejíce ideální tělesnou schránku pro jeho plány, upletl kouzelník kouzlo Infestace a vyslal svou životní sílu do těla N'aixe s úmyslem přinutit jej obětovat se v násilném šílenství, zatímco by se mág vrátil zpět do svého těla a odešel nepozorován. Místo toho se však kouzelníkova mysl ocitla ve víru šílenství tak silném, že zametla jeho plány a prorazila jeho vůli. Probuzen k vědomí náhlým přísunem čerstvého života, N'aix procitl ze své šílené noční můry a jal se následovat bezejmenný hlas, který naplnil jeho lebku. Myslel pouze na jediné - na útěk. Tehdy se zrodil Lifestealer. Tato bytost si našla cestu do podvědomí hlídačů a vojáků a přesvědčovala je, aby odemykali zámky a podřezávali své druhy. N'aix si přes jejich mrtvá těla otevřel cestu ke svobodě a dodnes nosí prolomená pouta jako varování vůči těm, které by snad napadlo jej zase zavřít. Uvnitř je ale stále vězňem. Dvě mysli obývají tuto bytost - prochytralý, zlý tvor beze jména a pán, jehož hlasem se předstíravě řídí."
"[english]npc_dota_hero_life_stealer_bio"	"In the dungeons of Devarque, a vengeful wizard lay in shackles, plotting his escape. He shared his cell with a gibbering creature known as N'aix, a thief cursed by the Vile Council with longevity, so that its life-sentence for theft and cozening might be as punishing as possible. Over the years, its chains had corroded, along with its sanity; N'aix retained no memory of its former life and no longer dreamt of escape. Seeing a perfect vessel for his plans, the wizard wove a spell of Infestation and cast his life-force into N'aix's body, intending to compel N'aix to sacrifice itself in a frenzy of violence while the mage returned to his body and crept away unnoticed. Instead, the wizard found his mind caught in a vortex of madness so powerful that it swept away his plans and shattered his will. Jarred to consciousness by the sudden infusion of fresh life, N'aix woke from its nightmare of madness and obeyed the disembodied voice that filled its skull, which had only the one thought: To escape. In that moment Lifestealer was born. The creature cast its mind into dungeon guards and soldiers, compelling them to open locks and cut down their companions, opening an unobstructed path to freedom while feeding on their lives. Lifestealer still wears the broken shackles as a warning that none may hold him, but on the inside remains a prisoner. Two minds inhabit the single form--a nameless creature of malevolent cunning, and the Master whose voice he pretends to obey."
"DOTA_Tooltip_ability_furion_sprout"	"Sprout"
"[english]DOTA_Tooltip_ability_furion_sprout"	"Sprout"
"DOTA_Tooltip_ability_furion_sprout_Description"	"Kolem jednotky vyraší kruh stromů a uvězní ji na místě."
"[english]DOTA_Tooltip_ability_furion_sprout_Description"	"Sprouts a ring of trees around a unit, trapping it in place."
"DOTA_Tooltip_ability_furion_sprout_Lore"	"Zelený porost je běžná nákaza postihující ty, kteří zaútočili na Nature's Propheta."
"[english]DOTA_Tooltip_ability_furion_sprout_Lore"	"Verdant overgrowth is a common ailment reported by Nature's Prophet's attackers."
"DOTA_Tooltip_ability_furion_sprout_duration"	"TRVÁNÍ:"
"[english]DOTA_Tooltip_ability_furion_sprout_duration"	"DURATION:"
"DOTA_Tooltip_ability_furion_teleportation"	"Teleportation"
"[english]DOTA_Tooltip_ability_furion_teleportation"	"Teleportation"
"DOTA_Tooltip_ability_furion_teleportation_Description"	"Teleportuje na jakékoliv místo na mapě."
"[english]DOTA_Tooltip_ability_furion_teleportation_Description"	"Teleports to any point on the map."
"DOTA_Tooltip_ability_furion_teleportation_Lore"	"Prophet drží stráž nad lesem a chrání jej kdykoliv je třeba."
"[english]DOTA_Tooltip_ability_furion_teleportation_Lore"	"The Prophet keeps his sentinel over the forest, protecting it when in need."
"DOTA_Tooltip_ability_furion_force_of_nature"	"Nature's Call"
"[english]DOTA_Tooltip_ability_furion_force_of_nature"	"Nature's Call"
"DOTA_Tooltip_ability_furion_force_of_nature_Description"	"Přemění stromy v oblasti na Treanty. Treanti mají 550 bodů zdraví a udělují 21-23 poškození."
"[english]DOTA_Tooltip_ability_furion_force_of_nature_Description"	"Converts an area of trees into Treants. Treants have 550 hit points and deal 21-23 damage."
"DOTA_Tooltip_ability_furion_force_of_nature_Lore"	"Verodicia obdařila Phopheta možností vyvolat Treantí stráž, mýtickou vševidoucí armádu přírody."
"[english]DOTA_Tooltip_ability_furion_force_of_nature_Lore"	"Verodicia bestowed the Prophet with the ability to summon the Treant Guard, a mythical sentient army of the wild."
"DOTA_Tooltip_ability_furion_force_of_nature_duration"	"DÉLKA ŽIVOTA TREANTŮ:"
"[english]DOTA_Tooltip_ability_furion_force_of_nature_duration"	"TREANT DURATION:"
"DOTA_Tooltip_ability_furion_wrath_of_nature"	"Wrath of Nature"
"[english]DOTA_Tooltip_ability_furion_wrath_of_nature"	"Wrath of Nature"
"DOTA_Tooltip_ability_furion_wrath_of_nature_Description"	"Po mapě začne poblíž bodu vyvolání skákat poškozující energie zasahující viditelné jednotky poblíž. S každým dalším zásahem nepřítele se poškození postupně zvyšuje o 7%%.\n\nLze vylepšit pomocí Aghanim's Scepteru."
"[english]DOTA_Tooltip_ability_furion_wrath_of_nature_Description"	"Damaging energy bounces around the map, striking enemies close to the cast point that are in vision. Each enemy hit beyond the first adds damage.\n\nUpgradable with Aghanim's Scepter."
"DOTA_Tooltip_ability_furion_wrath_of_nature_Lore"	"Nature's Prophet povolá hněv Verodicie, aby zasáhla ty, kteří by mohli pustošit divočinu."
"[english]DOTA_Tooltip_ability_furion_wrath_of_nature_Lore"	"Nature's Prophet calls Verodicia's fury to strike down those who might ravage the wilderness."
"DOTA_Tooltip_ability_furion_wrath_of_nature_max_targets"	"MAX. CÍLŮ:"
"[english]DOTA_Tooltip_ability_furion_wrath_of_nature_max_targets"	"MAX TARGETS:"
"npc_dota_hero_furion_bio"	"Když Verodicia, bohyně lesů, zaplnila všechna zelená místa, vtiskla duši do semínek, nalákala klikatící se prameny vody z hlubin skal a přísahala, že rostliny dostanou veškerou pozornost slunce, uvědomila si, že její čas se naplnil a že stejně jako jeden z listů, jenž osud vtiskla do zrn, padne, aniž by viděla ovoce jejího snu. Bolelo jí, že musela opustit svět, protože klíčky se ještě nestihly prorazit skrz půdu a budou ponechány zranitelné napospas všem nebezpečenstvím. V tu chvíli ve vaku na zrna nalezla poslední semínko, které pozapomněla, když sela. K semínku promluvila jediné slovo a spolkla ho, zatímco klesala k zemi. Celé tělo se během dlouhé zimy rozložilo a proměnilo se v humus, který na jaře semínka krmí. A v den jarní rovnodennosti, ještě než se zbytek lesa začal probouzet, ono poslední semínko náhle puklo. Vzešel z něj Nature's Prophet, obdařený nejen silou a moudrostí, ale i Verodiciinou mocí vidět, kde je nejvíce třeba bránit rostlinstvo a také ty, jež mají to štěstí a mohou Verodicia považovat za svého přítele."
"[english]npc_dota_hero_furion_bio"	"When Verodicia, Goddess of the Woods, had finished filling in the green places, having planted the coiled-up spirit in the seed, having lured the twining waters from deep within the rock, having sworn the sun its full attention to the growing things, she realized that her own time had reached its end, and like one of the leaves whose fate she had imprinted in the seed, she would fall without seeing the fruiting of her dream. It pained her to leave the world bereft, for the sprouts had not yet broken through the soil--and they would be tender and vulnerable to every sort of harm. She found in her seed pouch one last seed that she had missed in the sowing. She spoke a single word into the seed and swallowed it as she fell. Her vast body decomposed throughout the long winter, becoming the humus that would feed the seedlings in the spring. And on the morning of the vernal equinox, before the rest of the forest had begun to wake, that last seed ripened and burst in an instant. From it stepped Nature's Prophet, in full leaf, strong and wise, possessing Verodicia's power to foresee where he would be needed most in defense of the green places--and any who might be fortunate enough to call him an ally."
"npc_dota_hero_furion_hype"	"Uvězňuj své nepřátele mezi stromy!\n\nProměňuj stromy ve své bojovníky!\n\nGankuj své nepřátele tajným teleportováním zpoza stromů!\n\nVypouštěj hněv přírody!\n\nStromy!"
"[english]npc_dota_hero_furion_hype"	"Trap your opponents in trees!\n\nTurn trees into fighting thickets of death!\n\nDonkey gank with sneaky teleports from the trees!\n\nUnleash the wrath of nature!\n\nTrees!"
"DOTA_Tooltip_ability_windrunner_focusfire"	"Focus Fire"
"[english]DOTA_Tooltip_ability_windrunner_focusfire"	"Focus Fire"
"DOTA_Tooltip_ability_windrunner_focusfire_Description"	"Windranger usměrní vítr a získá tak maximální rychlost útoku na nepřátelskou jednotku nebo budovu, ale se sníženým poškozením, což platí i na poškození z unikátních modifikátorů útoku nebo z efektů předmětů. Zvýšená rychlost útoků trvá 20 sekund.\n\nLze vylepšit pomocí Aghanim's Scepteru."
"[english]DOTA_Tooltip_ability_windrunner_focusfire_Description"	"Windranger channels the wind, gaining maximum attack speed on the enemy unit or structure, although with reduced damage, including damage from Unique Attack Modifiers and item effects.  Lasts 20 seconds.\n\nUpgradable with Aghanim's Scepter."
"DOTA_Tooltip_ability_windrunner_focusfire_Lore"	"Schopnosti Lyralei bombardovat protivníky smrští šípů se nic nevyrovná – ani přes sníženou přesnost."
"[english]DOTA_Tooltip_ability_windrunner_focusfire_Lore"	"Lyralei's ability to bombard opponents with a flurry of arrows is unparalleled - even at the expense of accuracy."
"DOTA_Tooltip_ability_windrunner_focusfire_focusfire_damage_reduction"	"%REDUKCE POŠKOZENÍ:"
"[english]DOTA_Tooltip_ability_windrunner_focusfire_focusfire_damage_reduction"	"%DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_windrunner_powershot"	"Powershot"
"[english]DOTA_Tooltip_ability_windrunner_powershot"	"Powershot"
"DOTA_Tooltip_ability_windrunner_powershot_Description"	"Windranger napne svůj luk a po 1 sekundě vystřelí jedinou mocnou střelu. Tento šíp zraní všechny nepřátelské jednotky a zničí všechny stromy v cestě. První zasažené jednotce udělí nejvyšší poškození, které se poté snižuje o 10%% za každou další zasaženou jednotku. Pokud je vyvolávání přerušeno dříve, šíp vystřelí tak jako tak, ovšem s menším poškozením."
"[english]DOTA_Tooltip_ability_windrunner_powershot_Description"	"Windranger charges her bow for up to 1 second for a single powerful shot. The arrow deals damage to enemy units and destroys trees in its path. Damage is greatest on first target, and reduces by 10%% for each target it pierces thereafter.  If the channeling is cancelled early, the shot will still occur but deal less damage."
"DOTA_Tooltip_ability_windrunner_powershot_Lore"	"Během svých brzkých let výcviku se Lyralei naučila střílet mocné šípy, které rozštíply i stromy při cestě k cíli."
"[english]DOTA_Tooltip_ability_windrunner_powershot_Lore"	"During her early years of training, Lyralei learned to fire powerful arrows that cleaved even trees to reach their targets."
"DOTA_Tooltip_ability_windrunner_powershot_arrow_range"	"DOSAH:"
"[english]DOTA_Tooltip_ability_windrunner_powershot_arrow_range"	"RANGE:"
"DOTA_Tooltip_ability_windrunner_shackleshot"	"Shackleshot"
"[english]DOTA_Tooltip_ability_windrunner_shackleshot"	"Shackleshot"
"DOTA_Tooltip_ability_windrunner_shackleshot_Description"	"Připoutá cíl k nepřátelské jednotce nebo stromu za ním. Pokud se v blízkosti žádná jednotka či strom nenachází, výsledná doba omráčení je snížena na 0,75."
"[english]DOTA_Tooltip_ability_windrunner_shackleshot_Description"	"Shackles the target to an enemy unit or tree in a line directly behind it.  If no unit or tree is present, the stun duration is reduced to 0.75."
"DOTA_Tooltip_ability_windrunner_shackleshot_Lore"	"Jedna z dovedností, které Windranger se svým lukem ovládá, je schopnost střílet šípy se silnými lany umožňující zastavení unikajícího cíle."
"[english]DOTA_Tooltip_ability_windrunner_shackleshot_Lore"	"Windranger's variety of bow skills includes an arrow with thick ropes attached to encumber any escaping target."
"DOTA_Tooltip_ability_windrunner_shackleshot_stun_duration"	"DÉLKA SVÁZÁNÍ:"
"[english]DOTA_Tooltip_ability_windrunner_shackleshot_stun_duration"	"SHACKLE DURATION:"
"DOTA_Tooltip_ability_windrunner_windrun"	"Windrun"
"[english]DOTA_Tooltip_ability_windrunner_windrun"	"Windrun"
"DOTA_Tooltip_ability_windrunner_windrun_Description"	"Zvýší rychlost pohybu a přidá větší šanci na vyhnutí se fyzickým útokům. Navíc ještě zpomaluje nepřátele v okolí."
"[english]DOTA_Tooltip_ability_windrunner_windrun_Description"	"Increases movement speed and adds evasion from all physical attacks, while slowing movement of nearby enemies."
"DOTA_Tooltip_ability_windrunner_windrun_Lore"	"Lyralei očaruje okolní vítr tak, aby rozptýlil příchozí útoky."
"[english]DOTA_Tooltip_ability_windrunner_windrun_Lore"	"Lyralei enchants gusts of winds to fight incoming attacks."
"DOTA_Tooltip_ability_windrunner_windrun_enemy_movespeed_bonus_pct"	"%ZPOMALENÍ NEPŘÁTEL:"
"[english]DOTA_Tooltip_ability_windrunner_windrun_enemy_movespeed_bonus_pct"	"%ENEMY SLOW:"
"DOTA_Tooltip_ability_windrunner_windrun_movespeed_bonus_pct"	"%BONUS K RYCHLOSTI POHYBU:"
"[english]DOTA_Tooltip_ability_windrunner_windrun_movespeed_bonus_pct"	"%MOVE SPEED BONUS:"
"DOTA_Tooltip_ability_windrunner_windrun_duration"	"TRVÁNÍ:"
"[english]DOTA_Tooltip_ability_windrunner_windrun_duration"	"DURATION:"
"npc_dota_hero_windrunner_bio"	"Lesy na západě dobře střeží svá tajemství. Jedním z nich je Lyralei, mistrovská lučištnice lesa a oblíbená neteř větru, nyní známá jako Windranger. Její rodina byla zabita v bouři v noc jejího narození, dům byl zničen vichřicí a veškerý nábytek odnesly větry. Pouze novorozeně přežilo smršť smrti a ničení. Během klidu po bouři si sám vítr povšiml šťastného nemluvněte plačícímu v trávě. Vítr litoval dítěte, pozvedl jej do nebe a odnesl na práh sousední vesnice. V následujících letech se vítr občasně vracel do života dítěte a sledoval její trénink z dáli. Nyní, po rocích výcviku, pálí Windranger své šípy přesně do jejich cílů. Pohybuje se oslepující rychlostí, jako by byla poháněna oním větrem. Smrští šípů vyvražďuje své nepřátele a stává se samotnou silou přírody."
"[english]npc_dota_hero_windrunner_bio"	"The western forests guard their secrets well. One of these is Lyralei, master archer of the wood, and favored godchild of the wind.  Known now as Windranger, Lyralei's family was killed in a storm on the night of her birth—-their house blown down by the gale, contents scattered to the winds. Only the newborn survived among the debris field of death and destruction.  In the quiet after the storm, the wind itself took notice of the lucky infant crying in the grass. The wind pitied the child and so lifted her into the sky and deposited her on a doorstep in a neighboring village.  In the years that followed, the wind returned occasionally to the child’s life, watching from a distance while she honed her skills.  Now, after many years of training, Windranger fires her arrows true to their targets.  She moves with blinding speed, as if hastened by a wind ever at her back.  With a flurry of arrows, she slaughters her enemies, having become, nearly, a force of nature herself."
"npc_dota_hero_windrunner_hype"	"Kos své nepřátele průrazným šípem!\n\nDevastuj vzdálené protivníky silnými střelami!\n\nPohybuj se jako vítr a ovládni své soky svojí úžasnou útočnou rychlostí!"
"[english]npc_dota_hero_windrunner_hype"	"Skewer your opponents with your piercing arrow!\n\nDevastate distant foes with your power shot!\n\nMove like the wind, overtaking enemies with your blistering attack speed!"
"DOTA_Tooltip_ability_lion_impale"	"Earth Spike"
"[english]DOTA_Tooltip_ability_lion_impale"	"Earth Spike"
"DOTA_Tooltip_ability_lion_impale_Description"	"Ze země vystoupí v řadě za sebou kamenné ostny. Nepřátelské jednotky jsou vyhozeny do vzduchu, omráčeny a po dopadu obdrží poškození."
"[english]DOTA_Tooltip_ability_lion_impale_Description"	"Rock spikes burst from the earth along a straight path. Enemy units are hurled into the air, then are stunned and take damage when they fall."
"DOTA_Tooltip_ability_lion_impale_Lore"	"Demon Witch využije svého paktu s ďáblem, který otevře puklinu až z pekel."
"[english]DOTA_Tooltip_ability_lion_impale_Lore"	"The Demon Witch exercises his demonic covenant, opening a fissure from hell."
"DOTA_Tooltip_ability_lion_impale_duration"	"TRVÁNÍ:"
"[english]DOTA_Tooltip_ability_lion_impale_duration"	"DURATION:"
"DOTA_Tooltip_ability_lion_impale_length"	"DÉLKA:"
"[english]DOTA_Tooltip_ability_lion_impale_length"	"LENGTH:"
"DOTA_Tooltip_ability_lion_voodoo"	"Hex"
"[english]DOTA_Tooltip_ability_lion_voodoo"	"Hex"
"DOTA_Tooltip_ability_lion_voodoo_Description"	"Přemění nepřátelskou jednotku na neškodné zvíře a zakáže jí všechny speciální schonosti."
"[english]DOTA_Tooltip_ability_lion_voodoo_Description"	"Transforms an enemy unit into a harmless beast, with all special abilities disabled."
"DOTA_Tooltip_ability_lion_voodoo_Lore"	"Lion nutí sdílet jeho proměnu pokroucením samotné podstaty těch, kteří se mu postaví."
"[english]DOTA_Tooltip_ability_lion_voodoo_Lore"	"Lion is compelled to share his transfiguration, twisting the essence of those who oppose him."
"DOTA_Tooltip_ability_lion_voodoo_duration"	"TRVÁNÍ:"
"[english]DOTA_Tooltip_ability_lion_voodoo_duration"	"DURATION:"
"DOTA_Tooltip_ability_lion_mana_drain"	"Mana Drain"
"[english]DOTA_Tooltip_ability_lion_mana_drain"	"Mana Drain"
"DOTA_Tooltip_ability_lion_mana_drain_Description"	"VYVOLÁVÁ SE – Čerpá magickou energii z nepřátelských jednotek, každou sekundu vysaje trochu many."
"[english]DOTA_Tooltip_ability_lion_mana_drain_Description"	"CHANNELED - Absorbs the magical energies of a target enemy unit by taking mana from it every second."
"DOTA_Tooltip_ability_lion_mana_drain_Lore"	"Nižší mágové nejsou pro Demon Witch nic víc, než pouhý zdroj magické obnovy."
"[english]DOTA_Tooltip_ability_lion_mana_drain_Lore"	"Lesser magi are nothing more than a source of magical restoration for the Demon Witch."
"DOTA_Tooltip_ability_lion_mana_drain_duration"	"DOBA VYVOLÁVÁNÍ:"
"[english]DOTA_Tooltip_ability_lion_mana_drain_duration"	"CHANNEL TIME:"
"DOTA_Tooltip_ability_lion_mana_drain_mana_per_second"	"MANA ZA SEKUNDU:"
"[english]DOTA_Tooltip_ability_lion_mana_drain_mana_per_second"	"MANA PER SECOND:"
"DOTA_Tooltip_ability_lion_mana_drain_break_distance"	"VZDÁLENOST PŘERUŠENÍ:"
"[english]DOTA_Tooltip_ability_lion_mana_drain_break_distance"	"BREAK DISTANCE:"
"DOTA_Tooltip_ability_lion_finger_of_death"	"Finger of Death"
"[english]DOTA_Tooltip_ability_lion_finger_of_death"	"Finger of Death"
"DOTA_Tooltip_ability_lion_finger_of_death_Description"	"Roztrhá nepřátelskou jednotku a pokusí se ji obrátit vnitřnostmi ven. Způsobuje obrovské poškození.\n\nLze vylepšit pomocí Aghanim's Scepteru."
"[english]DOTA_Tooltip_ability_lion_finger_of_death_Description"	"Rips at an enemy unit, trying to turn it inside-out. Deals massive damage.\n\nUpgradable with Aghanim's Scepter."
"DOTA_Tooltip_ability_lion_finger_of_death_Lore"	"Lionova znetvořená ruka je také zdrojem jeho největší síly, schopná seslat na oběti záplavy temných sil."
"[english]DOTA_Tooltip_ability_lion_finger_of_death_Lore"	"Lion's disfigured hand is also the source of his greatest power, capable of flooding victims with malefic force."
"npc_dota_hero_lion_bio"	"Lion, kdysi velmistr čarodejnické tradice Demon Witch, získal u svého lidu slávu za bojování na straně světla a spravedlnosti. Příliš moci a slávy ale člověka zkazí. Se svou ohromnou silou, kterou dokázala překonat pouze jeho vlastní ctižádot, byl mág sveden démonem, a přidal se na stranu zla výměnou své duše za ještě více prestiže. Začal páchat hrozné zločiny, které zkazily jeho duši, démon ho ale nakonec zradil a opustil, protože uzavřel s nepřáteli výhodnější dohodu. Tehdy započal Lionův hněv, během kterého onoho démona pronásledoval zpět do pekel, kde ho zabil, rozeval jeho tělo kus po kusu, a přivlastnil si jeho ruku. Nicméně takováhle 'démonoplastika' si vybírá svou cenu. Lion byl pozměněn a jeho tělo se změnilo v něco nerozpoznatelného. Pln nenávisti povstal zpět z pekla a začal všechny zabíjet, dokonce i ty, kteří ho nazývali svým pánem, a celý jeho kraj, který dříve tak zbožňoval, lehl popelem. Nyní je Lion posledním nositelem tradice Demon Witch; každý, kdo se vydává za jeho pomocníka nebo studenta, je brzy zbaven své many, a vzápětí jeho ostatky odnáší mírný závan větru."
