"lang"
{
"Language"	"turkish"
"npc_dota_badguys_melee_rax_top"	"Yakın Dövüş Barakaları"
"[english]npc_dota_badguys_melee_rax_top"	"Melee Barracks"
"npc_dota_badguys_melee_rax_mid"	"Yakın Dövüş Barakaları"
"[english]npc_dota_badguys_melee_rax_mid"	"Melee Barracks"
"npc_dota_badguys_melee_rax_bot"	"Yakın Dövüş Barakaları"
"[english]npc_dota_badguys_melee_rax_bot"	"Melee Barracks"
"npc_dota_goodguys_range_rax_top"	"Menzilli Barakaları"
"[english]npc_dota_goodguys_range_rax_top"	"Ranged Barracks"
"npc_dota_goodguys_range_rax_mid"	"Menzilli Barakaları"
"[english]npc_dota_goodguys_range_rax_mid"	"Ranged Barracks"
"npc_dota_goodguys_range_rax_bot"	"Menzilli Barakaları"
"[english]npc_dota_goodguys_range_rax_bot"	"Ranged Barracks"
"npc_dota_badguys_range_rax_top"	"Menzilli Barakaları"
"[english]npc_dota_badguys_range_rax_top"	"Ranged Barracks"
"npc_dota_badguys_range_rax_mid"	"Menzilli Barakaları"
"[english]npc_dota_badguys_range_rax_mid"	"Ranged Barracks"
"npc_dota_badguys_range_rax_bot"	"Menzilli Barakaları"
"[english]npc_dota_badguys_range_rax_bot"	"Ranged Barracks"
"npc_dota_goodguys_fort"	"Radiant Kadim Kale"
"[english]npc_dota_goodguys_fort"	"Radiant's Ancient"
"npc_dota_badguys_fort"	"Dire Kadim Kale"
"[english]npc_dota_badguys_fort"	"Dire's Ancient"
"npc_dota_goodguys_fillers"	"Bina"
"[english]npc_dota_goodguys_fillers"	"Building"
"npc_dota_badguys_fillers"	"Bina"
"[english]npc_dota_badguys_fillers"	"Building"
"DOTA_Shop_Category_0_Hotkey"	"TÜKETİLEBİLİRLER (%s1)"
"[english]DOTA_Shop_Category_0_Hotkey"	"CONSUMABLES (%s1)"
"DOTA_Shop_Category_1_Hotkey"	"ÖZELLİKLER (%s1)"
"[english]DOTA_Shop_Category_1_Hotkey"	"ATTRIBUTES (%s1)"
"DOTA_Shop_Category_2_Hotkey"	"TEÇHİZATLAR (%s1)"
"[english]DOTA_Shop_Category_2_Hotkey"	"ARMAMENTS (%s1)"
"DOTA_Shop_Category_3_Hotkey"	"BÜYÜLÜ (%s1)"
"[english]DOTA_Shop_Category_3_Hotkey"	"ARCANE (%s1)"
"DOTA_Shop_Category_4_Hotkey"	"GENEL (%s1)"
"[english]DOTA_Shop_Category_4_Hotkey"	"COMMON (%s1)"
"DOTA_Shop_Category_5_Hotkey"	"DESTEK (%s1)"
"[english]DOTA_Shop_Category_5_Hotkey"	"SUPPORT (%s1)"
"DOTA_Shop_Category_6_Hotkey"	"BÜYÜCÜ (%s1)"
"[english]DOTA_Shop_Category_6_Hotkey"	"CASTER (%s1)"
"DOTA_Shop_Category_7_Hotkey"	"SİLAHLAR (%s1)"
"[english]DOTA_Shop_Category_7_Hotkey"	"WEAPONS (%s1)"
"DOTA_Shop_Category_8_Hotkey"	"ZIRH (%s1)"
"[english]DOTA_Shop_Category_8_Hotkey"	"ARMOR (%s1)"
"DOTA_Shop_Category_9_Hotkey"	"TARİHİ ESERLER (%s1)"
"[english]DOTA_Shop_Category_9_Hotkey"	"ARTIFACTS (%s1)"
"DOTA_Shop_Category_10_Hotkey"	"SAYFA 1 (%s1)"
"[english]DOTA_Shop_Category_10_Hotkey"	"PAGE 1 (%s1)"
"DOTA_Shop_Category_11_Hotkey"	"SAYFA 2 (%s1)"
"[english]DOTA_Shop_Category_11_Hotkey"	"PAGE 2 (%s1)"
"DOTA_Shop_Category_12_Hotkey"	"GİZLİ DÜKKÂN (%s1)"
"[english]DOTA_Shop_Category_12_Hotkey"	"SECRET SHOP (%s1)"
"DOTA_Shop_Category_0"	"SARF MALZEMELERİ"
"[english]DOTA_Shop_Category_0"	"CONSUMABLES"
"DOTA_Shop_Category_1"	"ÖZELLİKLER"
"[english]DOTA_Shop_Category_1"	"ATTRIBUTES"
"DOTA_Shop_Category_2"	"TEÇHİZATLAR"
"[english]DOTA_Shop_Category_2"	"ARMAMENTS"
"DOTA_Shop_Category_3"	"BÜYÜLÜ"
"[english]DOTA_Shop_Category_3"	"ARCANE"
"DOTA_Shop_Category_4"	"GENEL"
"[english]DOTA_Shop_Category_4"	"COMMON"
"DOTA_Shop_Category_5"	"DESTEK"
"[english]DOTA_Shop_Category_5"	"SUPPORT"
"DOTA_Shop_Category_6"	"BÜYÜCÜ"
"[english]DOTA_Shop_Category_6"	"CASTER"
"DOTA_Shop_Category_7"	"SİLAHLAR"
"[english]DOTA_Shop_Category_7"	"WEAPONS"
"DOTA_Shop_Category_8"	"ZIRH"
"[english]DOTA_Shop_Category_8"	"ARMOR"
"DOTA_Shop_Category_9"	"TARİHİ ESERLER"
"[english]DOTA_Shop_Category_9"	"ARTIFACTS"
"DOTA_Shop_Category_10"	"SAYFA 1"
"[english]DOTA_Shop_Category_10"	"PAGE 1"
"DOTA_Shop_Category_11"	"SAYFA 2"
"[english]DOTA_Shop_Category_11"	"PAGE 2"
"DOTA_Shop_Category_12"	"GİZLİ DÜKKÂN"
"[english]DOTA_Shop_Category_12"	"SECRET SHOP"
"DOTA_SHOP_CATEGORY_CONSUMABLES"	"Tüketilebilirler"
"[english]DOTA_SHOP_CATEGORY_CONSUMABLES"	"Consumables"
"DOTA_SHOP_CATEGORY_ATTACK"	"Saldırı"
"[english]DOTA_SHOP_CATEGORY_ATTACK"	"Attack"
"DOTA_SHOP_CATEGORY_DEFENSE"	"Savunma"
"[english]DOTA_SHOP_CATEGORY_DEFENSE"	"Defense"
"DOTA_SHOP_CATEGORY_ABILITIES"	"Yetenek"
"[english]DOTA_SHOP_CATEGORY_ABILITIES"	"Abilities"
"DOTA_SHOP_CATEGORY_MOVEMENT"	"Hareket"
"[english]DOTA_SHOP_CATEGORY_MOVEMENT"	"Movement"
"DOTA_SHOP_CATEGORY_ATTRIBUTES"	"Özellikler"
"[english]DOTA_SHOP_CATEGORY_ATTRIBUTES"	"Attributes"
"DOTA_SHOP_CATEGORY_UNIQUES"	"Eşsizler"
"[english]DOTA_SHOP_CATEGORY_UNIQUES"	"Uniques"
"DOTA_SHOP_FILTERS"	"FİLTRELER"
"[english]DOTA_SHOP_FILTERS"	"FILTERS"
"DOTA_SHOP_FILTER_BY"	"FİLTRELE:"
"[english]DOTA_SHOP_FILTER_BY"	"FILTER BY:"
"DOTA_SHOP_ITEMS"	"EŞYALAR"
"[english]DOTA_SHOP_ITEMS"	"ITEMS"
"DOTA_SHOP_CLOSE"	"X KAPAT"
"[english]DOTA_SHOP_CLOSE"	"X CLOSE"
"DOTA_SHOP_DETAILS_ADD_TO_QUICK"	"HIZLI ALIMA EKLE"
"[english]DOTA_SHOP_DETAILS_ADD_TO_QUICK"	"ADD TO QUICK BUY"
"DOTA_SHOP_DETAILS_UPGRADE"	"EŞYAYI GELİŞTİR"
"[english]DOTA_SHOP_DETAILS_UPGRADE"	"UPGRADE ITEM"
"DOTA_SHOP_DETAILS_PURCHASE"	"EŞYAYI AL"
"[english]DOTA_SHOP_DETAILS_PURCHASE"	"PURCHASE ITEM"
"DOTA_SHOP_DETAILS_COMPLETE"	"TAMAMLANDI"
"[english]DOTA_SHOP_DETAILS_COMPLETE"	"COMPLETE"
"DOTA_SHOP_QUICK_BUY"	"HIZLI ALIM:"
"[english]DOTA_SHOP_QUICK_BUY"	"QUICK BUY:"
"DOTA_SHOP_STASH"	"ZULADAKİ EŞYALAR:"
"[english]DOTA_SHOP_STASH"	"ITEMS IN STASH:"
"DOTA_Shop_Search_Results_Partial"	"'%s2' eşyadan '%s1' tanesi aramanla eşleşti:"
"[english]DOTA_Shop_Search_Results_Partial"	"'%s1' of '%s2' items that match your search:"
"DOTA_Shop_Search_Results"	"Aramanla eşleşen eşyalar:"
"[english]DOTA_Shop_Search_Results"	"Items that match your search:"
"DOTA_Shop_Search_No_Results"	"Aramanla eşleşen eşya yok."
"[english]DOTA_Shop_Search_No_Results"	"No items were found that match your search."
"DOTA_SHOP_TAG_ALL"	"TÜMÜ"
"[english]DOTA_SHOP_TAG_ALL"	"ALL"
"DOTA_SHOP_TAG_CONSUMABLE"	"Tüketilebilir"
"[english]DOTA_SHOP_TAG_CONSUMABLE"	"Consumable"
"DOTA_SHOP_TAG_DAMAGE"	"Hasar"
"[english]DOTA_SHOP_TAG_DAMAGE"	"Damage"
"DOTA_SHOP_TAG_ATTACK_SPEED"	"Saldırı Hızı"
"[english]DOTA_SHOP_TAG_ATTACK_SPEED"	"Attack Speed"
"DOTA_SHOP_TAG_CRIT_CHANCE"	"Kritik Şansı"
"[english]DOTA_SHOP_TAG_CRIT_CHANCE"	"Critical Chance"
"DOTA_SHOP_TAG_ARMOR"	"Zırh"
"[english]DOTA_SHOP_TAG_ARMOR"	"Armor"
"DOTA_SHOP_TAG_EVASION"	"Savuşturma"
"[english]DOTA_SHOP_TAG_EVASION"	"Evasion"
"DOTA_SHOP_TAG_MAGIC_RESIST"	"Büyü Direnci"
"[english]DOTA_SHOP_TAG_MAGIC_RESIST"	"Magic Resist"
"DOTA_SHOP_TAG_MOVE_SPEED"	"Hareket Hızı"
"[english]DOTA_SHOP_TAG_MOVE_SPEED"	"Movement Speed"
"DOTA_SHOP_TAG_TELEPORT"	"Işınlanma"
"[english]DOTA_SHOP_TAG_TELEPORT"	"Teleport"
"DOTA_SHOP_TAG_SEE_INVIS"	"Görünmezlik Algıla"
"[english]DOTA_SHOP_TAG_SEE_INVIS"	"Detect Invis"
"DOTA_SHOP_TAG_COURIER"	"Kurye"
"[english]DOTA_SHOP_TAG_COURIER"	"Courier"
"DOTA_SHOP_TAG_STR"	"Kuvvet"
"[english]DOTA_SHOP_TAG_STR"	"Strength"
"DOTA_SHOP_TAG_INT"	"Zekâ"
"[english]DOTA_SHOP_TAG_INT"	"Intelligence"
"DOTA_SHOP_TAG_AGI"	"Çeviklik"
"[english]DOTA_SHOP_TAG_AGI"	"Agility"
"DOTA_SHOP_TAG_REGEN_HEALTH"	"Sağlık Yenilenmesi"
"[english]DOTA_SHOP_TAG_REGEN_HEALTH"	"Health Regen"
"DOTA_SHOP_TAG_REGEN_MANA"	"Mana Yenilenmesi"
"[english]DOTA_SHOP_TAG_REGEN_MANA"	"Mana Regen"
"DOTA_SHOP_TAG_BLOCK"	"Hasar Engelle"
"[english]DOTA_SHOP_TAG_BLOCK"	"Block Damage"
"DOTA_SHOP_TAG_LIFESTEAL"	"Can Çalma"
"[english]DOTA_SHOP_TAG_LIFESTEAL"	"Lifesteal"
"DOTA_SHOP_TAG_BOOST_HEALTH"	"Sağlık Takviyesi"
"[english]DOTA_SHOP_TAG_BOOST_HEALTH"	"Boost Health"
"DOTA_SHOP_TAG_BOOST_MANA"	"Mana Takviyesi"
"[english]DOTA_SHOP_TAG_BOOST_MANA"	"Boost Mana"
"DOTA_SHOP_TAG_BOOST_ARMOR"	"Zırh Takviyesi"
"[english]DOTA_SHOP_TAG_BOOST_ARMOR"	"Boost Armor"
"DOTA_SHOP_TAG_MANA_POOL"	"Mana Havuzu"
"[english]DOTA_SHOP_TAG_MANA_POOL"	"Mana Pool"
"DOTA_SHOP_TAG_HEALTH_POOL"	"Sağlık Havuzu"
"[english]DOTA_SHOP_TAG_HEALTH_POOL"	"Health Pool"
"DOTA_SHOP_TAG_BOOST_MAGIC_RESIST"	"Sihir Direnci Takviyesi"
"[english]DOTA_SHOP_TAG_BOOST_MAGIC_RESIST"	"Boost Magic Resistance"
"DOTA_SHOP_TAG_HARD_TO_TAG"	"Kategorize etmesi zor eşyalar"
"[english]DOTA_SHOP_TAG_HARD_TO_TAG"	"Hard items to categorize"
"DOTA_SHOP_TAG_UNIQUE"	"Benzersiz"
"[english]DOTA_SHOP_TAG_UNIQUE"	"Unique"
"DOTA_SHOP_TAG_TUTORIAL"	"Eğitim"
"[english]DOTA_SHOP_TAG_TUTORIAL"	"Tutorial"
"DOTA_Item_Build_Test_Title"	"Eşya Yapısı Testi"
"[english]DOTA_Item_Build_Test_Title"	"Test Item Build"
"DOTA_Item_Build_Starting_Items"	"Başlangıç Eşyaları"
"[english]DOTA_Item_Build_Starting_Items"	"Starting Items"
"DOTA_Item_Build_Early_Game"	"Oyun Başı"
"[english]DOTA_Item_Build_Early_Game"	"Early Game"
"DOTA_Item_Build_Core_Items"	"Ana Eşyalar"
"[english]DOTA_Item_Build_Core_Items"	"Core Items"
"DOTA_Item_Build_Luxury"	"Duruma Göre Eşyalar"
"[english]DOTA_Item_Build_Luxury"	"Situational Items"
"DOTA_GOLD"	"Altın"
"[english]DOTA_GOLD"	"Gold"
"DOTA_XP"	"XP"
"[english]DOTA_XP"	"XP"
"DOTA_EXCLAMATION"	"!"
"[english]DOTA_EXCLAMATION"	"!"
"DOTA_PLUS"	"+"
"[english]DOTA_PLUS"	"+"
"DOTA_DAMAGE"	"HASAR"
"[english]DOTA_DAMAGE"	"DAMAGE"
"DOTA_BONUS"	"+%s1"
"[english]DOTA_BONUS"	"+%s1"
"DOTA_PENALTY"	"-%s1"
"[english]DOTA_PENALTY"	"-%s1"
"DOTA_MISS"	"Iska!"
"[english]DOTA_MISS"	"Miss!"
"DOTA_EVADE"	"Kaçış!"
"[english]DOTA_EVADE"	"Evade!"
"DOTA_Inventory"	"Envanter"
"[english]DOTA_Inventory"	"Inventory"
"DOTA_InventoryOverflow"	"Fazlalık"
"[english]DOTA_InventoryOverflow"	"Overflow"
"DOTA_InventoryOverflowMsg"	"Fazlalık eşyalar zulaya döner."
"[english]DOTA_InventoryOverflowMsg"	"Items left in the overflow will return to the stash."
"DOTA_InventoryStash"	"ZULA"
"[english]DOTA_InventoryStash"	"STASH"
"DOTA_InventoryQuickBuy"	"HIZLI ALIM"
"[english]DOTA_InventoryQuickBuy"	"QUICK BUY"
"DOTA_Quick_Buy_Hint"	"Hızlı Alımı ayarlamak için eşyalara Shift ile tıkla"
"[english]DOTA_Quick_Buy_Hint"	"Shift-click shop items to set Quick Buy"
"DOTA_Inventory_ReliableGold"	"Güvenilir Altın: %s1"
"[english]DOTA_Inventory_ReliableGold"	"Reliable Gold: %s1"
"DOTA_Inventory_UnreliableGold"	"Güvenilmez Altın: %s1"
"[english]DOTA_Inventory_UnreliableGold"	"Unreliable Gold: %s1"
"DOTA_Inventory_Item_Owned_By"	"Sahibi: %s1"
"[english]DOTA_Inventory_Item_Owned_By"	"Owned By: %s1"
"DOTA_InventoryMenu_Sell"	"Sat"
"[english]DOTA_InventoryMenu_Sell"	"Sell"
"DOTA_InventoryMenu_Disassemble"	"Parçala"
"[english]DOTA_InventoryMenu_Disassemble"	"Disassemble"
"DOTA_InventoryMenu_ShowInShop"	"Dükkânda Göster"
"[english]DOTA_InventoryMenu_ShowInShop"	"Show in Shop"
"DOTA_InventoryMenu_DropFromStash"	"Zuladan at"
"[english]DOTA_InventoryMenu_DropFromStash"	"Drop from Stash"
"DOTA_Scoreboard_GoodGuys"	"RADIANT"
"[english]DOTA_Scoreboard_GoodGuys"	"THE RADIANT"
"DOTA_Scoreboard_BadGuys"	"DIRE"
"[english]DOTA_Scoreboard_BadGuys"	"THE DIRE"
"DOTA_Scoreboard_Header_PLAYER"	"OYUNCU"
"[english]DOTA_Scoreboard_Header_PLAYER"	"PLAYER"
"DOTA_Scoreboard_Header_KDA"	"L / Ö / A"
"[english]DOTA_Scoreboard_Header_KDA"	"K / D / A"
"DOTA_Scoreboard_Header_Level"	"SEVİYE"
"[english]DOTA_Scoreboard_Header_Level"	"LEVEL"
"DOTA_Scoreboard_Header_Gold"	"ALTIN"
"[english]DOTA_Scoreboard_Header_Gold"	"GOLD"
"DOTA_Scoreboard_Team_Scores_Header"	"TAKIM BAŞINA LEŞ"
"[english]DOTA_Scoreboard_Team_Scores_Header"	"KILLS PER TEAM"
"DOTA_Scoreboard_Heroes_Killed"	"KAHRAMAN"
"[english]DOTA_Scoreboard_Heroes_Killed"	"HEROES"
"DOTA_Scoreboard_Towers_Killed"	"KULE"
"[english]DOTA_Scoreboard_Towers_Killed"	"TOWERS"
"DOTA_Scoreboard_Barracks_Killed"	"BARAKA"
"[english]DOTA_Scoreboard_Barracks_Killed"	"BARRACKS"
"DOTA_Scoreboard_Level_Hero"	"Seviye %s1 %s2"
"[english]DOTA_Scoreboard_Level_Hero"	"Lvl %s1 %s2"
"DOTA_Scoreboard_Picking_Hero"	"Kahraman Seçiyor"
"[english]DOTA_Scoreboard_Picking_Hero"	"Picking a Hero"
"DOTA_Scoreboard_Disconnected"	"Bağlantı Kesildi"
"[english]DOTA_Scoreboard_Disconnected"	"Disconnected"
"DOTA_Tooltip_Ability_Next_Upgrade_Level"	"Sonraki Geliştirme İçin Kahraman Seviyesi %s1 Gerekli"
"[english]DOTA_Tooltip_Ability_Next_Upgrade_Level"	"Next Upgrade at Hero Level %s1"
"DOTA_Tooltip_Ability_Upgradable"	"Geliştirilebilir"
"[english]DOTA_Tooltip_Ability_Upgradable"	"Upgradable"
"DOTA_Tooltip_ability_attribute_bonus"	"Özellik Bonusu"
"[english]DOTA_Tooltip_ability_attribute_bonus"	"Attribute Bonus"
"DOTA_Tooltip_ability_attribute_bonus_Description"	"Harcanan her puan kadar özellikler geliştirilir"
"[english]DOTA_Tooltip_ability_attribute_bonus_Description"	"Improves all attributes per point spent"
"DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"	"BONUS:"
"[english]DOTA_Tooltip_ability_attribute_bonus_attribute_bonus_per_level"	"BONUS:"
"DOTA_Tooltip_ability_default_attack"	"Saldırılar"
"[english]DOTA_Tooltip_ability_default_attack"	"Attacks"
"DOTA_Tooltip_ability_default_attack_Description"	"Doğrudan saldırılarla verilen hasar."
"[english]DOTA_Tooltip_ability_default_attack_Description"	"Damage done by direct attacks."
"DOTA_Tooltip_ability_fountain_glyph"	"Kuvvetlendirme Kalkanı"
"[english]DOTA_Tooltip_ability_fountain_glyph"	"Glyph of Fortification"
"DOTA_Tooltip_ability_fountain_glyph_Description"	"Tüm binalarınıza büyük miktarda zırh artışı sağlar."
"[english]DOTA_Tooltip_ability_fountain_glyph_Description"	"Gives a massive armor bonus to all your structures."
"DOTA_Tooltip_ability_fountain_glyph_duration"	"SÜRE:"
"[english]DOTA_Tooltip_ability_fountain_glyph_duration"	"DURATION:"
"DOTA_Tooltip_glyph_cooldown_ready"	"Hazır"
"[english]DOTA_Tooltip_glyph_cooldown_ready"	"Ready"
"DOTA_Tooltip_glyph_cooldown"	"Dolum Süresi: %s1"
"[english]DOTA_Tooltip_glyph_cooldown"	"Cooldown: %s1"
"DOTA_Tooltip_ability_fountain_buyback"	"Anında Canlanma"
"[english]DOTA_Tooltip_ability_fountain_buyback"	"Buyback"
"DOTA_Tooltip_ability_fountain_buyback_Description"	"Bir ücret karşılığında kahramanını anında canlandırır."
"[english]DOTA_Tooltip_ability_fountain_buyback_Description"	"Respawns your hero immediately, for a price."
"DOTA_Tooltip_ability_fountain_buyback_cost"	"MALİYET:"
"[english]DOTA_Tooltip_ability_fountain_buyback_cost"	"COST:"
"DOTA_Tooltip_ability_backdoor_protection"	"Arka Kapı Koruması"
"[english]DOTA_Tooltip_ability_backdoor_protection"	"Backdoor Protection"
"DOTA_Tooltip_ability_backdoor_protection_in_base"	"Arka Kapı Koruması"
"[english]DOTA_Tooltip_ability_backdoor_protection_in_base"	"Backdoor Protection"
"DOTA_Tooltip_ability_courier_return_to_base"	"Üsse Geri Dön"
"[english]DOTA_Tooltip_ability_courier_return_to_base"	"Return to Base"
"DOTA_Tooltip_ability_courier_return_to_base_Description"	"Kuryeyi üsse geri gönderir"
"[english]DOTA_Tooltip_ability_courier_return_to_base_Description"	"Returns the courier to base"
"DOTA_Tooltip_ability_courier_transfer_items"	"Eşyaları Naklet"
"[english]DOTA_Tooltip_ability_courier_transfer_items"	"Transfer Items"
"DOTA_Tooltip_ability_courier_transfer_items_Description"	"Eşyaları kahramana nakleder"
"[english]DOTA_Tooltip_ability_courier_transfer_items_Description"	"Transfer items to hero"
"DOTA_Tooltip_ability_courier_return_stash_items"	"Eşyaları Geri Gönder"
"[english]DOTA_Tooltip_ability_courier_return_stash_items"	"Return Items"
"DOTA_Tooltip_ability_courier_return_stash_items_Description"	"Eşyaları zulaya geri gönderir"
"[english]DOTA_Tooltip_ability_courier_return_stash_items_Description"	"Return items to stash"
"DOTA_Tooltip_ability_courier_shield"	"Kalkan"
"[english]DOTA_Tooltip_ability_courier_shield"	"Shield"
"DOTA_Tooltip_ability_courier_shield_Description"	"Kuryenin etrafında koruyucu bir kalkan oluşturur"
"[english]DOTA_Tooltip_ability_courier_shield_Description"	"Summons a protective shield around the courier"
"DOTA_Tooltip_ability_courier_burst"	"Hız Artışı"
"[english]DOTA_Tooltip_ability_courier_burst"	"Speed Burst"
"DOTA_Tooltip_ability_courier_burst_Description"	"Kurye bir süreliğine hızlanır"
"[english]DOTA_Tooltip_ability_courier_burst_Description"	"The courier gains a speed burst"
"DOTA_Tooltip_ability_courier_take_stash_items"	"Eşyaları Al"
"[english]DOTA_Tooltip_ability_courier_take_stash_items"	"Retrieve Items"
"DOTA_Tooltip_ability_courier_take_stash_items_Description"	"Eşyaları zuladan geri alır"
"[english]DOTA_Tooltip_ability_courier_take_stash_items_Description"	"Retrieve items from stash"
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"	"Mana Break"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn"	"Mana Break"
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"	"Her vuruşta mana yakar ve yakılan mananın bir kısmı hasara dönüşür."
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_Description"	"Mana burned per hit, a portion of which is dealt as damage."
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"	"VURUŞ BAŞINA YAKILAN:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_amount"	"BURN PER HIT:"
"DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%HASARA DÖNÜŞTÜRÜLEN:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_mana_burn_burn_damage_conversion"	"%CONVERTED TO DAMAGE:"
"DOTA_Tooltip_ability_necronomicon_warrior_last_will"	"Last Will"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_last_will"	"Last Will"
"DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"	"Necronomicon savaşçısını öldüren birime hasar verir."
"[english]DOTA_Tooltip_ability_necronomicon_warrior_last_will_Description"	"Damage dealt to unit that kills Necronomicon Warrior."
"DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"	"HASAR:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_last_will_explosion"	"DAMAGE:"
"DOTA_Tooltip_ability_necronomicon_warrior_sight"	"Gerçek Görüş"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_sight"	"True Sight"
"DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"	"Görünmez birimleri açığa çıkarır."
"[english]DOTA_Tooltip_ability_necronomicon_warrior_sight_Description"	"Reveals invisible units."
"DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"	"YARIÇAP:"
"[english]DOTA_Tooltip_ability_necronomicon_warrior_sight_radius"	"RADIUS:"
"DOTA_Tooltip_ability_necronomicon_archer_mana_burn"	"Mana Burn"
"[english]DOTA_Tooltip_ability_necronomicon_archer_mana_burn"	"Mana Burn"
"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"	"Hedeflenen birimin manasını yakar."
"[english]DOTA_Tooltip_ability_necronomicon_archer_mana_burn_Description"	"Burns targeted unit's mana."
"DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"	"YAKILAN MİKTAR:"
"[english]DOTA_Tooltip_ability_necronomicon_archer_mana_burn_burn_amount"	"BURN AMOUNT:"
"DOTA_Tooltip_ability_necronomicon_archer_aoe"	"Saldırı ve Hareket Hızı Aurası"
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe"	"Attack Speed and Movement Aura"
"DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"	"Yakındaki tüm birimlerin hareket ve saldırı hızlarını arttırır."
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe_Description"	"Increases movement and attack speed of nearby units."
"DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"	"YARIÇAP:"
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe_radius"	"RADIUS:"
"DOTA_Tooltip_ability_necronomicon_archer_aoe_speed_bonus"	"%FAZLADAN HIZ:"
"[english]DOTA_Tooltip_ability_necronomicon_archer_aoe_speed_bonus"	"%SPEED BONUS:"
"DOTA_Tooltip_ability_antimage_mana_break"	"Mana Break"
"[english]DOTA_Tooltip_ability_antimage_mana_break"	"Mana Break"
"DOTA_Tooltip_ability_antimage_mana_break_Description"	"Her saldırıda rakibin manasını yakar. Mana Break yakılan mananın %%60'ı kadar hedefe hasar verir.\n\nMana Break bir Eşsiz Saldırı Eklentisidir ve diğer Eşsiz Saldırı Eklentileri ile birleştirilemez."
"[english]DOTA_Tooltip_ability_antimage_mana_break_Description"	"Burns an opponent's mana on each attack.  Mana Break deals 60%% of the mana burned as damage to the target.\n\nMana Break is a Unique Attack Modifier, and does not stack with other Unique Attack Modifiers."
"DOTA_Tooltip_ability_antimage_mana_break_Lore"	"Büyüsel enerjileri sahiplerine yöneltmek, Turstarkuri keşişlerinin barışçıl yöntemlerinden geliştirilmiş bir tekniktir."
"[english]DOTA_Tooltip_ability_antimage_mana_break_Lore"	"A modified technique of the Turstarkuri monks' peaceful ways is to turn magical energies on their owner."
"DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"	"VURUŞ BAŞINA MANA:"
"[english]DOTA_Tooltip_ability_antimage_mana_break_mana_per_hit"	"MANA PER HIT:"
"DOTA_Tooltip_ability_antimage_blink"	"Blink"
"[english]DOTA_Tooltip_ability_antimage_blink"	"Blink"
"DOTA_Tooltip_ability_antimage_blink_Description"	"Anti-Mage'in mücadeleye girip çıkmasını sağlayan kısa mesafeli ışınlanma."
"[english]DOTA_Tooltip_ability_antimage_blink_Description"	"Short distance teleportation that allows Anti-Mage to move in and out of combat."
"DOTA_Tooltip_ability_antimage_blink_Lore"	"Ölü Tanrılarla olan karşılaşmasında Anti-Mage, yakalanması zor olmanın değerini öğrendi."
"[english]DOTA_Tooltip_ability_antimage_blink_Lore"	"In his encounter with the Dead Gods, Anti-Mage learned the value of being elusive."
"DOTA_Tooltip_ability_antimage_blink_blink_range"	"MENZİL:"
"[english]DOTA_Tooltip_ability_antimage_blink_blink_range"	"RANGE:"
"DOTA_Tooltip_ability_antimage_spell_shield"	"Spell Shield"
"[english]DOTA_Tooltip_ability_antimage_spell_shield"	"Spell Shield"
"DOTA_Tooltip_ability_antimage_spell_shield_Description"	"Anti-Mage'in büyü hasarına karşı direncini arttırır."
"[english]DOTA_Tooltip_ability_antimage_spell_shield_Description"	"Increases Anti-Mage's resistance to magic damage."
"DOTA_Tooltip_ability_antimage_spell_shield_Lore"	"Yıllar süren meditasyon ve intikam takıntısı Anti-Mage'in cildini büyülü rakiplere karşı sağlamlaştırmıştır."
"[english]DOTA_Tooltip_ability_antimage_spell_shield_Lore"	"Years of meditation and obsession with revenge have hardened Anti-Mage's skin against mystical opponents."
"DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"	"%DİRENÇ:"
"[english]DOTA_Tooltip_ability_antimage_spell_shield_spell_shield_resistance"	"%RESISTANCE:"
"DOTA_Tooltip_ability_antimage_mana_void"	"Mana Void"
"[english]DOTA_Tooltip_ability_antimage_mana_void"	"Mana Void"
