"lang"
{
"Language"	"korean"
"announcer_announcer_intl2013_teamnamepick_06"	"Invasion MUFC 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_06"	"Invasion MUFC's turn to pick."
"announcer_announcer_intl2013_teamnamepick_08"	"LGD International 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_08"	"LGD International's turn to pick."
"announcer_announcer_intl2013_teamnamepick_11"	"Quantic Gaming 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_11"	"Quantic Gaming's turn to pick."
"announcer_announcer_intl2013_teamnamepick_12"	"RattleSnake 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_12"	"RattleSnake's turn to pick."
"announcer_ti4_ann_team_pick_01"		"얼라이언스가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_01"		"Alliances turn to pick."
"announcer_ti4_ann_team_pick_02"		"타이탄이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_02"		"Titan's turn to pick."
"announcer_ti4_ann_team_pick_04"		"이블 지니어시스가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_04"		"Evil Geniuses's turn to pick."
"announcer_ti4_ann_team_pick_06"		"프나틱이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_06"		"Fnatic's turn to pick."
"announcer_ti4_ann_team_pick_07"		"뉴비가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_07"		"NewBee's turn to pick."
"announcer_ti4_ann_team_pick_08"		"비치 게이밍이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_08"		"Vici Gaming's turn to pick."
"announcer_ti4_ann_team_pick_10"		"나비가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_10"		"Na'Vi's turn to pick."
"announcer_ti4_ann_team_pick_13"		"팀 디케이가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_13"		"Team DK's turn to pick."
"announcer_ti4_ann_team_pick_14"		"인빅투스 게이밍이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_14"		"Invictus Gaming's turn to pick."
"announcer_ti4_ann_team_pick_16"		"클라우드 나인이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_16"		"Cloud9's turn to pick."
"announcer_ti4_ann_team_pick_18"		"팀 엠파이어가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_18"		"Team Empire's turn to pick."
"announcer_ti4_ann_team_pick_19"		"나비 유에스가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_19"		"Na'Vi.US's turn to pick."
"announcer_ti4_ann_team_pick_23"		"애로우 게이밍이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_23"		"Arrow Gaming's turn to pick."
"announcer_ti4_ann_team_pick_24"		"팀 리퀴드가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_24"		"Team Liquid's turn to pick."
"announcer_ti4_ann_team_pick_26"		"엠브이피 피닉스가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_26"		"MVP Phoenix's turn to pick."
"announcer_ti4_ann_team_pick_29"		"엘지디 게이밍이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_29"		"LGD Gaming's turn to pick."
"announcer_ti4_ann_team_pick_31"		"씨아이에스 게임이 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_31"		"CIS Game's turn to pick."
"announcer_ti4_ann_team_pick_33"		"마우스스포츠가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_33"		"Mousesports's turn to pick."
"announcer_ti4_ann_team_pick_35"		"벌투스 프로가 영웅을 선택할 차례입니다."
"[english]announcer_ti4_ann_team_pick_35"		"Virtus.pro's turn to pick."
"announcer_announcer_intl2012_teamnamepick_01"	"Absolute Legends 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_01"	"Absolute Legends' turn to pick."
"announcer_announcer_intl2012_teamnamepick_05"	"EHOME 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_05"	"EHOME's turn to pick."
"announcer_announcer_intl2012_teamnamepick_07"	"compLexity' 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_07"	"compLexity's turn to pick."
"announcer_announcer_intl2012_teamnamepick_08"	"CLG 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_08"	"CLG's turn to pick."
"announcer_announcer_intl2012_teamnamepick_09"	"EG 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_09"	"EG's turn to pick."
"announcer_announcer_intl2012_teamnamepick_11"	"Darer 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_11"	"Darer's turn to pick."
"announcer_announcer_intl2012_teamnamepick_13"	"MUFC 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_13"	"MUFC's turn to pick."
"announcer_announcer_intl2012_teamnamepick_14"	"mTw 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_14"	"mTw's turn to pick."
"announcer_announcer_intl2012_teamnamepick_16"	"World Elite 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_16"	"World Elite's turn to pick."
"announcer_announcer_intl2012_teamnamepick_18"	"Moscow Five 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2012_teamnamepick_18"	"Moscow Five's turn to pick."
"announcer_announcer_intl2013_teamnamepick_07"	"LGD 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_07"	"LGD's turn to pick."
"announcer_announcer_intl2013_teamnamepick_09"	"LGD Cn 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_09"	"LGD Cn's turn to pick."
"announcer_announcer_intl2013_teamnamepick_10"	"LGD Imposter 팀이 영웅을 선택합니다."
"[english]announcer_announcer_intl2013_teamnamepick_10"	"LGD Imposter's turn to pick."
"announcer_announcer_intl2012_teamnames_01"	"aL "
"[english]announcer_announcer_intl2012_teamnames_01"	"aL"
"announcer_announcer_intl2012_teamnames_02"	"Absolute Legends "
"[english]announcer_announcer_intl2012_teamnames_02"	"Absolute Legends"
"announcer_announcer_intl2012_teamnames_03"	"Na'Vi "
"[english]announcer_announcer_intl2012_teamnames_03"	"Na'Vi"
"announcer_announcer_intl2012_teamnames_04"	"Natus Vincere "
"[english]announcer_announcer_intl2012_teamnames_04"	"Natus Vincere"
"announcer_announcer_intl2012_teamnames_05"	"DK "
"[english]announcer_announcer_intl2012_teamnames_05"	"DK"
"announcer_announcer_intl2012_teamnames_06"	"Orange "
"[english]announcer_announcer_intl2012_teamnames_06"	"Orange"
"announcer_announcer_intl2012_teamnames_07"	"EHOME "
"[english]announcer_announcer_intl2012_teamnames_07"	"EHOME"
"announcer_announcer_intl2012_teamnames_08"	"iG "
"[english]announcer_announcer_intl2012_teamnames_08"	"iG"
"announcer_announcer_intl2012_teamnames_09"	"Invictus Gaming "
"[english]announcer_announcer_intl2012_teamnames_09"	"Invictus Gaming"
"announcer_announcer_intl2012_teamnames_10"	"coL "
"[english]announcer_announcer_intl2012_teamnames_10"	"coL"
"announcer_announcer_intl2012_teamnames_11"	"compLexity "
"[english]announcer_announcer_intl2012_teamnames_11"	"compLexity"
"announcer_announcer_intl2012_teamnames_12"	"CLG "
"[english]announcer_announcer_intl2012_teamnames_12"	"CLG"
"announcer_announcer_intl2012_teamnames_13"	"Counter Logic Gaming "
"[english]announcer_announcer_intl2012_teamnames_13"	"Counter Logic Gaming"
"announcer_announcer_intl2012_teamnames_14"	"EG "
"[english]announcer_announcer_intl2012_teamnames_14"	"EG"
"announcer_announcer_intl2012_teamnames_15"	"Evil Geniuses "
"[english]announcer_announcer_intl2012_teamnames_15"	"Evil Geniuses"
"announcer_announcer_intl2012_teamnames_16"	"Zenith"
"[english]announcer_announcer_intl2012_teamnames_16"	"Zenith"
"announcer_announcer_intl2012_teamnames_17"	"Darer"
"[english]announcer_announcer_intl2012_teamnames_17"	"Darer"
"announcer_announcer_intl2012_teamnames_18"	"LGD"
"[english]announcer_announcer_intl2012_teamnames_18"	"LGD"
"announcer_announcer_intl2012_teamnames_19"	"MUFC"
"[english]announcer_announcer_intl2012_teamnames_19"	"MUFC"
"announcer_announcer_intl2012_teamnames_20"	"M5"
"[english]announcer_announcer_intl2012_teamnames_20"	"M5"
"announcer_announcer_intl2012_teamnames_21"	"Moscow Five"
"[english]announcer_announcer_intl2012_teamnames_21"	"Moscow Five"
"announcer_announcer_intl2012_teamnames_22"	"mTw"
"[english]announcer_announcer_intl2012_teamnames_22"	"mTw"
"announcer_announcer_intl2012_teamnames_23"	"Mortal Teamwork"
"[english]announcer_announcer_intl2012_teamnames_23"	"Mortal Teamwork"
"announcer_announcer_intl2012_teamnames_24"	"TongFu"
"[english]announcer_announcer_intl2012_teamnames_24"	"TongFu"
"announcer_announcer_intl2012_teamnames_25"	"WE"
"[english]announcer_announcer_intl2012_teamnames_25"	"WE"
"announcer_announcer_intl2012_teamnames_26"	"World Elite"
"[english]announcer_announcer_intl2012_teamnames_26"	"World Elite"
"announcer_announcer_intl2012_teamnames_27"	"Mouz"
"[english]announcer_announcer_intl2012_teamnames_27"	"Mouz"
"announcer_announcer_intl2012_teamnames_28"	"Mousesports"
"[english]announcer_announcer_intl2012_teamnames_28"	"Mousesports"
"announcer_announcer_intl2013_teamnames_01"	"Alliance"
"[english]announcer_announcer_intl2013_teamnames_01"	"Alliance"
"announcer_announcer_intl2013_teamnames_02"	"Fnatic"
"[english]announcer_announcer_intl2013_teamnames_02"	"Fnatic"
"announcer_announcer_intl2013_teamnames_03"	"Team Liquid"
"[english]announcer_announcer_intl2013_teamnames_03"	"Team Liquid"
"announcer_announcer_intl2013_teamnames_04"	"Team Dignitas"
"[english]announcer_announcer_intl2013_teamnames_04"	"Team Dignitas"
"announcer_announcer_intl2013_teamnames_05"	"Virtus.Pro"
"[english]announcer_announcer_intl2013_teamnames_05"	"Virtus.Pro"
"announcer_announcer_intl2013_teamnames_06"	"Invasion MUFC"
"[english]announcer_announcer_intl2013_teamnames_06"	"Invasion MUFC"
"announcer_announcer_intl2013_teamnames_07"	"LGD"
"[english]announcer_announcer_intl2013_teamnames_07"	"LGD"
"announcer_announcer_intl2013_teamnames_08"	"LGD International"
"[english]announcer_announcer_intl2013_teamnames_08"	"LGD International"
"announcer_announcer_intl2013_teamnames_09"	"LGD cn"
"[english]announcer_announcer_intl2013_teamnames_09"	"LGD cn"
"announcer_announcer_intl2013_teamnames_10"	"LGD Imposters"
"[english]announcer_announcer_intl2013_teamnames_10"	"LGD Imposters"
"announcer_announcer_intl2013_teamnames_11"	"Quantic Gaming"
"[english]announcer_announcer_intl2013_teamnames_11"	"Quantic Gaming"
"announcer_announcer_intl2013_teamnames_12"	"RattleSnake"
"[english]announcer_announcer_intl2013_teamnames_12"	"RattleSnake"
"announcer_ti4_ann_team_names_01"		"얼라이언스"
"[english]announcer_ti4_ann_team_names_01"		"Alliance"
"announcer_ti4_ann_team_names_02"		"타이탄"
"[english]announcer_ti4_ann_team_names_02"		"Titan"
"announcer_ti4_ann_team_names_04"		"이블 지니어시스"
"[english]announcer_ti4_ann_team_names_04"		"Evil Geniuses"
"announcer_ti4_ann_team_names_06"		"프나틱"
"[english]announcer_ti4_ann_team_names_06"		"Fnatic"
"announcer_ti4_ann_team_names_07"		"뉴비"
"[english]announcer_ti4_ann_team_names_07"		"NewBee"
"announcer_ti4_ann_team_names_08"		"비치 게이밍"
"[english]announcer_ti4_ann_team_names_08"		"Vici Gaming"
"announcer_ti4_ann_team_names_10"		"나비"
"[english]announcer_ti4_ann_team_names_10"		"Na'Vi"
"announcer_ti4_ann_team_names_13"		"팀 디케이"
"[english]announcer_ti4_ann_team_names_13"		"Team DK"
"announcer_ti4_ann_team_names_14"		"인빅투스 게이밍"
"[english]announcer_ti4_ann_team_names_14"		"Invictus Gaming"
"announcer_ti4_ann_team_names_16"		"클라우드 나인"
"[english]announcer_ti4_ann_team_names_16"		"Cloud9"
"announcer_ti4_ann_team_names_18"		"팀 엠파이어"
"[english]announcer_ti4_ann_team_names_18"		"Team Empire"
"announcer_ti4_ann_team_names_19"		"나비 유에스"
"[english]announcer_ti4_ann_team_names_19"		"Na'Vi.US"
"announcer_ti4_ann_team_names_23"		"애로우 게이밍"
"[english]announcer_ti4_ann_team_names_23"		"Arrow Gaming"
"announcer_ti4_ann_team_names_24"		"팀 리퀴드"
"[english]announcer_ti4_ann_team_names_24"		"Team Liquid"
"announcer_ti4_ann_team_names_26"		"엠브이피 피닉스"
"[english]announcer_ti4_ann_team_names_26"		"MVP Phoenix"
"announcer_ti4_ann_team_names_29"		"엘지디 게이밍"
"[english]announcer_ti4_ann_team_names_29"		"LGD Gaming"
"announcer_ti4_ann_team_names_31"		"씨아이에스 게임"
"[english]announcer_ti4_ann_team_names_31"		"CIS Game"
"announcer_ti4_ann_team_names_34"		"마우스스포츠"
"[english]announcer_ti4_ann_team_names_34"		"Mousesports"
"announcer_ti4_ann_team_names_36"		"벌투스 프로"
"[english]announcer_ti4_ann_team_names_36"		"Virtus.pro"
"announcer_announcer_intl2012_teamnamevictory_04"	"Orange 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_04"	"Orange victory!"
"announcer_announcer_intl2012_teamnamevictory_10"		"Zenith 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_10"		"Zenith victory!"
"announcer_announcer_intl2012_teamnamevictory_16"		"TongFu 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_16"		"TongFu victory!"
"announcer_announcer_intl2013_teamnamevictory_04"		"Team Dignitas의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_04"		"Team Dignitas victory!"
"announcer_announcer_intl2013_teamnamevictory_07"		"LGD International 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_07"		"LGD International victory!"
"announcer_announcer_intl2013_teamnamevictory_10"		"Invasion MUFC 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_10"		"Invasion MUFC victory!"
"announcer_announcer_intl2013_teamnamevictory_11"		"Quantic Gaming 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_11"		"Quantic Gaming victory!"
"announcer_announcer_intl2013_teamnamevictory_12"		"RattleSnake 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_12"		"RattleSnake victory!"
"announcer_ti4_ann_team_victory_01"		"얼라이언스가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_01"		"Alliance victory!"
"announcer_ti4_ann_team_victory_02"		"타이탄이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_02"		"Titan victory!"
"announcer_ti4_ann_team_victory_04"		"이블 지니어시스가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_04"		"Evil Geniuses victory!"
"announcer_ti4_ann_team_victory_06"		"프나틱이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_06"		"Fnatic victory!"
"announcer_ti4_ann_team_victory_07"		"뉴비가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_07"		"NewBee victory!"
"announcer_ti4_ann_team_victory_08"		"비치 게이밍이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_08"		"Vici Gaming victory!"
"announcer_ti4_ann_team_victory_10"		"나비가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_10"		"Na'Vi victory!"
"announcer_ti4_ann_team_victory_13"		"팀 디케이가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_13"		"Team DK victory!"
"announcer_ti4_ann_team_victory_14"		"인빅투스 게이밍이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_14"		"Invictus Gaming victory!"
"announcer_ti4_ann_team_victory_16"		"클라우드 나인이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_16"		"Cloud9 victory!"
"announcer_ti4_ann_team_victory_18"		"팀 엠파이어가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_18"		"Team Empire victory!"
"announcer_ti4_ann_team_victory_19"		"나비 유에스가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_19"		"Na'Vi.US victory!"
"announcer_ti4_ann_team_victory_23"		"애로우 게이밍이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_23"		"Arrow Gaming victory!"
"announcer_ti4_ann_team_victory_24"		"팀 리퀴드가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_24"		"Team Liquid victory!"
"announcer_ti4_ann_team_victory_26"		"엠브이피 피닉스가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_26"		"MVP Phoenix victory!"
"announcer_ti4_ann_team_victory_30"		"엘지디 게이밍이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_30"		"LGD Gaming victory!"
"announcer_ti4_ann_team_victory_32"		"씨아이에스 게임이 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_32"		"CIS Game victory!"
"announcer_ti4_ann_team_victory_34"		"마우스스포츠가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_34"		"Mousesports victory!"
"announcer_ti4_ann_team_victory_36"		"벌투스 프로가 승리했습니다!"
"[english]announcer_ti4_ann_team_victory_36"		"Virtus.pro victory!"
"announcer_announcer_intl2012_teamnamevictory_01"		"Absolute Legends 팀이 승리했습니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_01"		"Absolute Legends victory!"
"announcer_announcer_intl2012_teamnamevictory_05"	"EHOME 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_05"	"EHOME victory!"
"announcer_announcer_intl2012_teamnamevictory_07"	"compLexity 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_07"	"compLexity victory!"
"announcer_announcer_intl2012_teamnamevictory_08"	"CLG 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_08"	"CLG victory!"
"announcer_announcer_intl2012_teamnamevictory_09"	"EG 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_09"	"EG victory!"
"announcer_announcer_intl2012_teamnamevictory_11"	"Darer 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_11"	"Darer victory!"
"announcer_announcer_intl2012_teamnamevictory_12"	"LGD 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_12"	"LGD victory!"
"announcer_announcer_intl2012_teamnamevictory_13"	"MUFC 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_13"	"MUFC victory!"
"announcer_announcer_intl2012_teamnamevictory_14"	"Moscow Five 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_14"	"Moscow Five victory!"
"announcer_announcer_intl2012_teamnamevictory_15"	"mTw 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_15"	"mTw victory!"
"announcer_announcer_intl2012_teamnamevictory_17"	"World Elite 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_17"	"World Elite victory!"
"announcer_announcer_intl2013_teamnamevictory_08"		"LGD.cn 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_08"		"LGD.cn victory!"
"announcer_announcer_intl2013_teamnamevictory_09"		"LGD Imposters 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_09"		"LGD Imposters victory!"
"announcer_announcer_intl2012_teamnamevictory_02"		"Na'Vi 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_02"		"Na'Vi victory!"
"announcer_announcer_intl2012_teamnamevictory_03"		"DK 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_03"		"DK victory!"
"announcer_announcer_intl2012_teamnamevictory_06"		"iG 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_06"		"iG victory!"
"announcer_announcer_intl2012_teamnamevictory_18"	"Mousesports 팀의 승리입니다!"
"[english]announcer_announcer_intl2012_teamnamevictory_18"	"Mousesports victory!"
"announcer_announcer_intl2013_teamnamevictory_01"	"Alliance 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_01"	"Alliance victory!"
"announcer_announcer_intl2013_teamnamevictory_02"	"Fnatic 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_02"	"Fnatic victory!"
"announcer_announcer_intl2013_teamnamevictory_03"	"Team Liquid 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_03"	"Team Liquid victory!"
"announcer_announcer_intl2013_teamnamevictory_05"	"Virtus.Pro 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_05"	"Virtus.Pro victory!"
"announcer_announcer_intl2013_teamnamevictory_06"	"LGD 팀의 승리입니다!"
"[english]announcer_announcer_intl2013_teamnamevictory_06"	"LGD victory!"
"announcer_announcer_intl2012_tourneystage_01"	"8강"
"[english]announcer_announcer_intl2012_tourneystage_01"	"Quarter-Finals."
"announcer_announcer_intl2012_tourneystage_02"	"4강"
"[english]announcer_announcer_intl2012_tourneystage_02"	"Semi-Finals."
"announcer_announcer_intl2012_tourneystage_03"	"결승전"
"[english]announcer_announcer_intl2012_tourneystage_03"	"Grand Finals."
"announcer_announcer_intl2012_usher_01"	"중간 휴식"
"[english]announcer_announcer_intl2012_usher_01"	"Intermission."
"announcer_announcer_intl2012_usher_02"	"안내 말씀 드리겠습니다."
"[english]announcer_announcer_intl2012_usher_02"	"Your attention please."
"announcer_announcer_intl2012_usher_03"	"곧 다음 경기가 시작됩니다."
"[english]announcer_announcer_intl2012_usher_03"	"The next game is about to begin."
"announcer_announcer_intl2012_versus_01"	"상대팀"
"[english]announcer_announcer_intl2012_versus_01"	"versus"
"announcer_announcer_intl2012_welcome_01"	"도타 2 인터내셔널에 오신 여러분을 환영합니다!"
"[english]announcer_announcer_intl2012_welcome_01"	"Welcome to the Dota 2 International!"
}
}
